OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_CIV,POVScore,PHYSRatioScore,Shape__Area,Shape__Length
1,11,001,Alameda,1.1,Livermore Central and West/Spring Town,Urban,1752.00013854,0.47210174,43860,0,2,48,1186.10416667,1,1,0.00828255120768517,0.48927908433106
2,8,001,Alameda,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Rural,116.54515312,1.9502678,32480,1,6,12,3167.33333333,1,5,0.0862978459590522,1.65197647659441
3,12,007,Butte,10,Oroville/Palermo/Thermalito,Rural,175.46837548,7.76886845,42656,1,5,34,1408.35294118,4,1,0.0752236077141788,1.61544535606663
4,1,049,Modoc,100,Adin/Lookout/Newell,Frontier,2.3155741,956.13437615,1454,1,7,0,0,2,5,0.267075247142657,3.28154788263597
5,2,051,Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,1.9579366,1452.26790405,5343,1,6,1,5951,1,5,0.813804218478708,5.79396300141255
6,1,051,Mono,103,Mammoth Lakes,Rural,123.75072727,66.38344825,5007,0,0,13,621.92307692,0,0,0.017550897201545,0.636250655669152
7,1,053,Monterey,104,Big Sur/Lucia,Frontier,5.18521155,251.29157927,1148,0,4,1,1455,3,1,0.0652618302656265,2.09457533234151
8,3,053,Monterey,105,King City/San Lucas,Rural,36.12337896,0.73217955,2799,0,4,19,884,4,0,0.117198813054529,2.70471665064311
9,1,053,Monterey,106,Bradley/San Ardo,Frontier,2.49000472,1432.1257989,2941,1,9,0,0,4,5,0.370568690011169,4.15503381827462
10,8,053,Monterey,107,Chualar/Gonzalez/Greenfield/Soledad,Rural,112.93533488,0.69850981,11209,1,9,9,5101.11111111,4,5,0.127403953545127,2.34939783496685
11,13,053,Monterey,108,Carmel Valley/Castroville/Marina/Moss Landing/Ord,Rural,159.58072432,1.23726082,38179,0,4,29,1860.55172414,2,2,0.0893119707757251,2.56581027124269
12,8,053,Monterey,109.1,Aromas/Las Lomas/Pajaro/Prunedale,Rural,202.48598552,110.79872691,16919,1,7,4,10930.25,2,5,0.0551909296159465,2.13474040883233
13,32,053,Monterey,109.2,Salinas/Spreckels,Urban,3924.82073378,5.3615592,38569,0,4,206,738.53883495,4,0,0.010110067361893,0.627674237939759
14,1,007,Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,Frontier,11.24310759,444.71690413,4520,1,10,1,5264,5,5,0.120908214452811,2.05908130396216
15,27,053,Monterey,110,Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside,Urban,974.2392734,0.40276592,73262,0,2,160,571.3,2,0,0.0253374928211088,1.1932810162358
16,4,055,Napa,111.1,Angwin/Deer Park/St. Helena,Rural,109.296878,2.45846241,10339,0,2,18,697.61111111,2,0,0.0339638244086018,1.18548328774134
17,2,055,Napa,111.2,Calistoga,Rural,91.32439569,2.61625327,4476,1,6,3,2163.66666667,3,3,0.0190578228134655,0.728578765586926
18,1,055,Napa,111.3,Berryessa,Frontier,5.59273384,293.05882358,1196,1,6,0,0,1,5,0.0785364056027902,1.46201147365157
