FIPS,State,County,Mean_Rank,Worst_Best,Rank
1117,Alabama,Shelby,6.875,Best,1
1031,Alabama,Coffee,9.625,Best,2
1003,Alabama,Baldwin,10.5,Best,3
1089,Alabama,Madison,11,Best,4
1077,Alabama,Lauderdale,11.25,Best,5
1065,Alabama,Hale,56.75,Worst,6
1131,Alabama,Wilcox,61,Worst,7
1119,Alabama,Sumter,59,Worst,8
1105,Alabama,Perry,60.25,Worst,9
1085,Alabama,Lowndes,60.875,Worst,10
2110,Alaska,Juneau,4.375,Best,1
2220,Alaska,Sitka,6.25,Best,2
2195,Alaska,Petersburg,7,Best,3
2100,Alaska,Haines,7.25,Best,4
2150,Alaska,Kodiak Island,7.5,Best,5
2290,Alaska,Yukon-Koyukuk,20.875,Worst,6
2180,Alaska,Nome,21.125,Worst,7
2188,Alaska,Northwest Arctic,21.875,Worst,8
2158,Alaska,Kusilvak,22.75,Worst,9
2050,Alaska,Bethel,20.75,Worst,10
4011,Arizona,Greenlee,3.625,Best,1
4025,Arizona,Yavapai,3.625,Best,2
4013,Arizona,Maricopa,4.125,Best,3
4019,Arizona,Pima,4.5,Best,4
4005,Arizona,Coconino,6.625,Best,5
4012,Arizona,La Paz,9.625,Worst,6
4015,Arizona,Mohave,10.375,Worst,7
4017,Arizona,Navajo,11.625,Worst,8
4007,Arizona,Gila,11.75,Worst,9
4001,Arizona,Apache,14.625,Worst,10
5143,Arkansas,Washington,7.75,Best,1
5007,Arkansas,Benton,8.875,Best,2
5009,Arkansas,Boone,9.5,Best,3
5005,Arkansas,Baxter,9.875,Best,4
5045,Arkansas,Faulkner,11.375,Best,5
5107,Arkansas,Phillips,66.25,Worst,6
5041,Arkansas,Desha,71,Worst,7
5095,Arkansas,Monroe,64,Worst,8
5017,Arkansas,Chicot,65.75,Worst,9
5093,Arkansas,Mississippi,68,Worst,10
6041,California,Marin,3.125,Best,1
6061,California,Placer,5.625,Best,2
6081,California,San Mateo,6,Best,3
6075,California,San Francisco,7.5,Best,4
6085,California,Santa Clara,7.5,Best,5
6047,California,Merced,49,Worst,6
6019,California,Fresno,49.125,Worst,7
6033,California,Lake,50.625,Worst,8
6107,California,Tulare,52.5,Worst,9
6029,California,Kern,53.75,Worst,10
8035,Colorado,Douglas,5.25,Best,1
8097,Colorado,Pitkin,6.75,Best,2
8107,Colorado,Routt,10.125,Best,3
8014,Colorado,Broomfield,10.375,Best,4
8013,Colorado,Boulder,11.875,Best,5
8071,Colorado,Las Animas,49.625,Worst,6
8011,Colorado,Bent,49.75,Worst,7
8101,Colorado,Pueblo,51.875,Worst,8
8089,Colorado,Otero,52.5,Worst,9
8023,Colorado,Costilla,54.375,Worst,10
9007,Connecticut,Middlesex,2.125,Best,1
9013,Connecticut,Tolland,2.125,Best,2
9001,Connecticut,Fairfield,3.625,Best,3
9005,Connecticut,Litchfield,3.625,Best,4
9003,Connecticut,Hartford,5.125,Worst,7
9011,Connecticut,New London,5.5,Worst,8
9009,Connecticut,New Haven,6.875,Worst,9
9015,Connecticut,Windham,7,Worst,10
10003,Delaware,New Castle,1.25,Best,1
10001,Delaware,Kent,2.75,Worst,10
12021,Florida,Collier,6.625,Best,1
12109,Florida,St. Johns,8.375,Best,2
12085,Florida,Martin,10.875,Best,3
12115,Florida,Sarasota,11.875,Best,4
12117,Florida,Seminole,12.5,Best,5
12063,Florida,Jackson,55.25,Worst,6
12079,Florida,Madison,55.75,Worst,7
12047,Florida,Hamilton,56.625,Worst,8
12039,Florida,Gadsden,59.875,Worst,9
12107,Florida,Putnam,63.25,Worst,10
13219,Georgia,Oconee,5.375,Best,1
13117,Georgia,Forsyth,6.875,Best,2
13113,Georgia,Fayette,12.125,Best,3
13073,Georgia,Columbia,12.5,Best,4
13067,Georgia,Cobb,12.875,Best,5
13193,Georgia,Macon,141.25,Worst,6
13061,Georgia,Clay,136.5,Worst,7
13289,Georgia,Twiggs,134.25,Worst,8
13163,Georgia,Jefferson,133.625,Worst,9
13141,Georgia,Hancock,135.375,Worst,10
15003,Hawaii,Honolulu,1.375,Best,1
15007,Hawaii,Kauai,2.25,Best,2
15009,Hawaii,Maui,2.75,Best,3
15001,Hawaii,Hawaii,3.625,Best,4
15003,Hawaii,Honolulu,1.375,Worst,7
15007,Hawaii,Kauai,2.25,Worst,8
15009,Hawaii,Maui,2.75,Worst,9
15001,Hawaii,Hawaii,3.625,Worst,10
16013,Idaho,Blaine,6.25,Best,1
16057,Idaho,Latah,7.375,Best,2
16001,Idaho,Ada,7.75,Best,3
16081,Idaho,Teton,8.875,Best,4
16085,Idaho,Valley,9,Best,5
16077,Idaho,Power,31.375,Worst,6
16047,Idaho,Gooding,31.625,Worst,7
16045,Idaho,Gem,32.125,Worst,8
16009,Idaho,Benewah,37.125,Worst,9
16073,Idaho,Owyhee,38.5,Worst,10
17147,Illinois,Piatt,11,Best,1
17203,Illinois,Woodford,12.75,Best,2
17043,Illinois,DuPage,13.375,Best,3
17133,Illinois,Monroe,14.375,Best,4
17085,Illinois,Jo Daviess,15.375,Best,5
17003,Illinois,Alexander,95.375,Worst,6
17165,Illinois,Saline,93.5,Worst,7
17069,Illinois,Hardin,89.25,Worst,8
17153,Illinois,Pulaski,89,Worst,9
17183,Illinois,Vermilion,92.875,Worst,10
18057,Indiana,Hamilton,3.375,Best,1
18063,Indiana,Hendricks,10.75,Best,2
18011,Indiana,Boone,11,Best,3
18037,Indiana,Dubois,11.875,Best,4
18059,Indiana,Hancock,13,Best,5
18153,Indiana,Sullivan,77.5,Worst,6
18149,Indiana,Starke,78,Worst,7
18143,Indiana,Scott,79.25,Worst,8
18041,Indiana,Fayette,81.625,Worst,9
18025,Indiana,Crawford,83.125,Worst,10
19191,Iowa,Winneshiek,5.25,Best,1
19167,Iowa,Sioux,11,Best,2
19075,Iowa,Grundy,12.25,Best,3
19017,Iowa,Bremer,12.875,Best,4
19049,Iowa,Dallas,13.625,Best,5
19045,Iowa,Clinton,82.25,Worst,6
19057,Iowa,Des Moines,84.125,Worst,7
19007,Iowa,Appanoose,90.25,Worst,8
19111,Iowa,Lee,91.625,Worst,9
19179,Iowa,Wapello,93.5,Worst,10
20091,Kansas,Johnson,9.875,Best,1
20113,Kansas,McPherson,13.375,Best,2
20131,Kansas,Nemaha,13.375,Best,3
20197,Kansas,Wabaunsee,14.5,Best,4
20083,Kansas,Hodgeman,16,Best,5
20209,Kansas,Wyandotte,97.375,Worst,6
20125,Kansas,Montgomery,94,Worst,7
20099,Kansas,Labette,91.75,Worst,8
20205,Kansas,Wilson,87.75,Worst,9
20107,Kansas,Linn,88.25,Worst,10
21209,Kentucky,Scott,11,Best,1
21185,Kentucky,Oldham,11.375,Best,2
21239,Kentucky,Woodford,11.375,Best,3
21015,Kentucky,Boone,13.25,Best,4
21037,Kentucky,Campbell,16,Best,5
21159,Kentucky,Martin,108,Worst,6
21095,Kentucky,Harlan,108,Worst,7
21147,Kentucky,McCreary,108.75,Worst,8
21129,Kentucky,Lee,110.625,Worst,9
21237,Kentucky,Wolfe,110.875,Worst,10
22103,Louisiana,St. Tammany,7,Best,1
22023,Louisiana,Cameron,7.125,Best,2
22089,Louisiana,St. Charles,7.625,Best,3
22005,Louisiana,Ascension,9.875,Best,4
22051,Louisiana,Jefferson,10.25,Best,5
22029,Louisiana,Concordia,52.25,Worst,6
22107,Louisiana,Tensas,56.125,Worst,7
22067,Louisiana,Morehouse,58.75,Worst,8
22065,Louisiana,Madison,58.875,Worst,9
22035,Louisiana,East Carroll,61.375,Worst,10
23005,Maine,Cumberland,2.75,Best,1
23013,Maine,Knox,3.875,Best,2
23023,Maine,Sagadahoc,4.25,Best,3
23009,Maine,Hancock,4.875,Best,4
23031,Maine,York,5.625,Best,5
23029,Maine,Washington,13.25,Worst,6
23025,Maine,Somerset,14.625,Worst,7
23021,Maine,Piscataquis,12.125,Worst,8
23001,Maine,Androscoggin,11,Worst,9
23003,Maine,Aroostook,13,Worst,10
24031,Maryland,Montgomery,3.25,Best,1
24027,Maryland,Howard,3.625,Best,2
24013,Maryland,Carroll,5.875,Best,3
24021,Maryland,Frederick,6,Best,4
24009,Maryland,Calvert,6.75,Best,5
24015,Maryland,Cecil,19.125,Worst,6
24019,Maryland,Dorchester,19.875,Worst,7
24510,Maryland,Baltimore City,20.625,Worst,8
24011,Maryland,Caroline,20.75,Worst,9
24039,Maryland,Somerset,22.75,Worst,10
25021,Massachusetts,Norfolk,3.125,Best,1
25017,Massachusetts,Middlesex,3.625,Best,2
25019,Massachusetts,Nantucket,4,Best,3
25015,Massachusetts,Hampshire,5,Best,4
25007,Massachusetts,Dukes,5.375,Best,5
25027,Massachusetts,Worcester,9,Worst,6
25025,Massachusetts,Suffolk,9.75,Worst,7
25003,Massachusetts,Berkshire,10.625,Worst,8
25005,Massachusetts,Bristol,12.125,Worst,9
25013,Massachusetts,Hampden,12.75,Worst,10
26089,Michigan,Leelanau,6.75,Best,1
26047,Michigan,Emmet,10.25,Best,2
26161,Michigan,Washtenaw,10.375,Best,3
26139,Michigan,Ottawa,11.125,Best,4
26037,Michigan,Clinton,11.75,Best,5
26035,Michigan,Clare,74,Worst,6
26163,Michigan,Wayne,80.75,Worst,7
26135,Michigan,Oscoda,71,Worst,8
26085,Michigan,Lake,70.625,Worst,9
26049,Michigan,Genesee,72.5,Worst,10
27103,Minnesota,Nicollet,9.875,Best,1
27109,Minnesota,Olmsted,11.25,Best,2
27019,Minnesota,Carver,12.5,Best,3
27163,Minnesota,Washington,12.75,Best,4
27149,Minnesota,Stevens,13.625,Best,5
27095,Minnesota,Mille Lacs,76.125,Worst,6
27021,Minnesota,Cass,77.75,Worst,7
27159,Minnesota,Wadena,78.625,Worst,8
27087,Minnesota,Mahnomen,79.25,Worst,9
27115,Minnesota,Pine,79.5,Worst,10
28073,Mississippi,Lamar,6.25,Best,1
28121,Mississippi,Rankin,9.375,Best,2
28071,Mississippi,Lafayette,10.5,Best,3
28089,Mississippi,Madison,11.625,Best,4
28033,Mississippi,DeSoto,11.75,Best,5
28119,Mississippi,Quitman,76.125,Worst,6
28125,Mississippi,Sharkey,72.625,Worst,7
28063,Mississippi,Jefferson,69.75,Worst,8
28051,Mississippi,Holmes,68.75,Worst,9
28133,Mississippi,Sunflower,71,Worst,10
29151,Missouri,Osage,5.375,Best,1
29165,Missouri,Platte,11.5,Best,2
29047,Missouri,Clay,11.875,Best,3
29003,Missouri,Andrew,13.625,Best,4
29183,Missouri,St. Charles,15.75,Best,5
29143,Missouri,New Madrid,105.125,Worst,6
29221,Missouri,Washington,105.5,Worst,7
29133,Missouri,Mississippi,107.375,Worst,8
29069,Missouri,Dunklin,110.5,Worst,9
29155,Missouri,Pemiscot,112.75,Worst,10
30031,Montana,Gallatin,7.25,Best,1
30057,Montana,Madison,9.125,Best,2
30095,Montana,Stillwater,10.625,Best,3
30009,Montana,Carbon,10.75,Best,4
30097,Montana,Sweet Grass,11.375,Best,5
30087,Montana,Rosebud,41.375,Worst,6
30005,Montana,Blaine,42.375,Worst,7
30035,Montana,Glacier,46.75,Worst,8
30085,Montana,Roosevelt,42.375,Worst,9
30003,Montana,Big Horn,45.5,Worst,10
31143,Nebraska,Polk,13.125,Best,1
31089,Nebraska,Holt,14.125,Best,2
31159,Nebraska,Seward,15,Best,3
31177,Nebraska,Washington,15.375,Best,4
31081,Nebraska,Hamilton,16.5,Best,5
31173,Nebraska,Thurston,77,Worst,6
31097,Nebraska,Johnson,67.125,Worst,7
31147,Nebraska,Richardson,64.375,Worst,8
31043,Nebraska,Dakota,66.375,Worst,9
31111,Nebraska,Lincoln,67.125,Worst,10
32005,Nevada,Douglas,3.375,Best,1
32017,Nevada,Lincoln,5,Best,2
32029,Nevada,Storey,5,Best,3
32007,Nevada,Elko,5.25,Best,4
32031,Nevada,Washoe,5.5,Best,5
32003,Nevada,Clark,8.875,Worst,6
32510,Nevada,Carson City,9.25,Worst,7
32019,Nevada,Lyon,11.875,Worst,8
32023,Nevada,Nye,12.75,Worst,9
32021,Nevada,Mineral,13.125,Worst,10
33009,New Hampshire,Grafton,1.875,Best,1
33015,New Hampshire,Rockingham,2.625,Best,2
33013,New Hampshire,Merrimack,3.5,Best,3
33005,New Hampshire,Cheshire,5.5,Best,4
33011,New Hampshire,Hillsborough,5.75,Best,5
33007,New Hampshire,Coos,9,Worst,6
33017,New Hampshire,Strafford,8,Worst,7
33001,New Hampshire,Belknap,6.125,Worst,8
33003,New Hampshire,Carroll,5.875,Worst,9
33019,New Hampshire,Sullivan,6.75,Worst,10
34019,New Jersey,Hunterdon,2.75,Best,1
34035,New Jersey,Somerset,3,Best,2
34027,New Jersey,Morris,3.25,Best,3
34003,New Jersey,Bergen,4.5,Best,4
34025,New Jersey,Monmouth,6.5,Best,5
34013,New Jersey,Essex,17.125,Worst,6
34001,New Jersey,Atlantic,17.125,Worst,7
34033,New Jersey,Salem,18.375,Worst,8
34011,New Jersey,Cumberland,20.375,Worst,9
34007,New Jersey,Camden,16.375,Worst,10
35028,New Mexico,Los Alamos,1.125,Best,1
35049,New Mexico,Santa Fe,6.375,Best,2
35043,New Mexico,Sandoval,8.25,Best,3
35001,New Mexico,Bernalillo,8.75,Best,4
35003,New Mexico,Catron,9.875,Best,5
35045,New Mexico,San Juan,23.5,Worst,6
35029,New Mexico,Luna,24.375,Worst,7
35006,New Mexico,Cibola,24.75,Worst,8
35039,New Mexico,Rio Arriba,26.125,Worst,9
35031,New Mexico,McKinley,30.875,Worst,10
36091,New York,Saratoga,10.5,Best,1
36109,New York,Tompkins,10.5,Best,2
36059,New York,Nassau,10.875,Best,3
36079,New York,Putnam,11.875,Best,4
36087,New York,Rockland,13.125,Best,5
36005,New York,Bronx,55.75,Worst,6
36009,New York,Cattaraugus,53.375,Worst,7
36105,New York,Sullivan,52.375,Worst,8
36057,New York,Montgomery,50.25,Worst,9
36063,New York,Niagara,53.375,Worst,10
37135,North Carolina,Orange,7.25,Best,1
37021,North Carolina,Buncombe,11.125,Best,2
37055,North Carolina,Dare,11.25,Best,3
37183,North Carolina,Wake,11.375,Best,4
37149,North Carolina,Polk,12.875,Best,5
37017,North Carolina,Bladen,90.25,Worst,6
37165,North Carolina,Scotland,91.875,Worst,7
37083,North Carolina,Halifax,93.5,Worst,8
37153,North Carolina,Richmond,93.875,Worst,9
37155,North Carolina,Robeson,96,Worst,10
38011,North Dakota,Bowman,8.875,Best,1
38103,North Dakota,Wells,8.875,Best,2
38015,North Dakota,Burleigh,11.75,Best,3
38097,North Dakota,Traill,12.5,Best,4
38091,North Dakota,Steele,13,Best,5
38053,North Dakota,McKenzie,38.25,Worst,6
38061,North Dakota,Mountrail,39.375,Worst,7
38005,North Dakota,Benson,46.125,Worst,8
38085,North Dakota,Sioux,46.625,Worst,9
38079,North Dakota,Rolette,47.875,Worst,10
39041,Ohio,Delaware,6.375,Best,1
39103,Ohio,Medina,9.5,Best,2
39165,Ohio,Warren,10.25,Best,3
39137,Ohio,Putnam,12.125,Best,4
39159,Ohio,Union,13.375,Best,5
39001,Ohio,Adams,79.125,Worst,6
39101,Ohio,Marion,75.25,Worst,7
39079,Ohio,Jackson,75,Worst,8
39105,Ohio,Meigs,73.625,Worst,9
39163,Ohio,Vinton,74.625,Worst,10
40017,Oklahoma,Canadian,8.625,Best,1
40073,Oklahoma,Kingfisher,9.75,Best,2
40003,Oklahoma,Alfalfa,13.25,Best,3
40027,Oklahoma,Cleveland,13.5,Best,4
40053,Oklahoma,Grant,13.625,Best,5
40079,Oklahoma,Le Flore,66.75,Worst,6
40135,Oklahoma,Sequoyah,69,Worst,7
40089,Oklahoma,McCurtain,71.5,Worst,8
40001,Oklahoma,Adair,73.25,Worst,9
40023,Oklahoma,Choctaw,75.375,Worst,10
41003,Oregon,Benton,3.875,Best,1
41027,Oregon,Hood River,4.75,Best,2
41067,Oregon,Washington,4.875,Best,3
41005,Oregon,Clackamas,7,Best,4
41017,Oregon,Deschutes,7,Best,5
41033,Oregon,Josephine,28.25,Worst,6
41035,Oregon,Klamath,28.375,Worst,7
41031,Oregon,Jefferson,29.625,Worst,8
41011,Oregon,Coos,29.875,Worst,9
41045,Oregon,Malheur,30.625,Worst,10
42091,Pennsylvania,Montgomery,6.125,Best,1
42027,Pennsylvania,Centre,7.125,Best,2
42119,Pennsylvania,Union,7.5,Best,3
42041,Pennsylvania,Cumberland,7.875,Best,4
42029,Pennsylvania,Chester,8.875,Best,5
42073,Pennsylvania,Lawrence,60.25,Worst,6
42051,Pennsylvania,Fayette,60,Worst,7
42059,Pennsylvania,Greene,59.25,Worst,8
42021,Pennsylvania,Cambria,56.75,Worst,9
42101,Pennsylvania,Philadelphia,59.875,Worst,10
44001,Rhode Island,Bristol,1.25,Best,1
44009,Rhode Island,Washington,2.125,Best,2
44005,Rhode Island,Newport,2.75,Best,3
44003,Rhode Island,Kent,4.125,Best,4
44007,Rhode Island,Providence,4.75,Best,5
44001,Rhode Island,Bristol,1.25,Worst,6
44009,Rhode Island,Washington,2.125,Worst,7
44005,Rhode Island,Newport,2.75,Worst,8
44003,Rhode Island,Kent,4.125,Worst,9
44007,Rhode Island,Providence,4.75,Worst,10
45013,South Carolina,Beaufort,3,Best,1
45045,South Carolina,Greenville,3.625,Best,2
45063,South Carolina,Lexington,5.5,Best,3
45019,South Carolina,Charleston,6.125,Best,4
45091,South Carolina,York,9.625,Best,5
45033,South Carolina,Dillon,38,Worst,6
45069,South Carolina,Marlboro,39.75,Worst,7
45029,South Carolina,Colleton,39.75,Worst,8
45067,South Carolina,Marion,40.125,Worst,9
45061,South Carolina,Lee,42.5,Worst,10
46083,South Dakota,Lincoln,9.75,Best,1
46051,South Dakota,Grant,11.375,Best,2
46011,South Dakota,Brookings,14.125,Best,3
46127,South Dakota,Union,15.375,Best,4
46117,South Dakota,Stanley,15.625,Best,5
46121,South Dakota,Todd,57,Worst,6
46031,South Dakota,Corson,56.875,Worst,7
46102,South Dakota,Oglala Lakota,56.875,Worst,8
46041,South Dakota,Dewey,53.375,Worst,9
46017,South Dakota,Buffalo,56.25,Worst,10
47187,Tennessee,Williamson,6.25,Best,1
47127,Tennessee,Moore,11.625,Best,2
47165,Tennessee,Sumner,13.375,Best,3
47189,Tennessee,Wilson,14.375,Best,4
47009,Tennessee,Blount,18.125,Best,5
47027,Tennessee,Clay,79.625,Worst,6
47087,Tennessee,Jackson,80.875,Worst,7
47095,Tennessee,Lake,82.75,Worst,8
47061,Tennessee,Grundy,86,Worst,9
47097,Tennessee,Lauderdale,87.375,Worst,10
48065,Texas,Carson,17.625,Best,1
48205,Texas,Hartley,18.625,Best,2
48085,Texas,Collin,21.375,Best,3
48121,Texas,Denton,23.5,Best,4
48259,Texas,Kendall,25.5,Best,5
48419,Texas,Shelby,205.5,Worst,6
48291,Texas,Liberty,208.25,Worst,7
48407,Texas,San Jacinto,209.625,Worst,8
48405,Texas,San Augustine,218.625,Worst,9
48047,Texas,Brooks,220.125,Worst,10
49043,Utah,Summit,3.875,Best,1
49029,Utah,Morgan,4.5,Best,2
49011,Utah,Davis,5.75,Best,3
49049,Utah,Utah,6.5,Best,4
49005,Utah,Cache,7,Best,5
49013,Utah,Duchesne,22.375,Worst,6
49037,Utah,San Juan,26.25,Worst,7
49007,Utah,Carbon,21.125,Worst,8
49017,Utah,Garfield,20.25,Worst,9
49047,Utah,Uintah,22,Worst,10
50007,Vermont,Chittenden,1.625,Best,1
50001,Vermont,Addison,2.125,Best,2
50023,Vermont,Washington,3.75,Best,3
50013,Vermont,Grand Isle,5.25,Best,4
50015,Vermont,Lamoille,6,Best,5
50021,Vermont,Rutland,9.375,Worst,6
50005,Vermont,Caledonia,10.125,Worst,7
50003,Vermont,Bennington,10.375,Worst,8
