,FIPS,State,County,Mean_Rank,Worst_Best,Rank,Lat,Long,Ticks_With_Lyme,Cases2019,Population,%<18_Yrs_Old,%65_Yrs_Old_and_over,Income($),African American(Count),African American(%),American_Indian/Alaskan_Native(Count),American_Indian/Alaskan_Native(%),Asian(Count),Asian(%),Native_Hawaiian/Other_Pacific_Islander(Count),Native_Hawaiian/Other_Pacific_Islander(%),Hispanic(Count),Hispanic(%),Non-Hispanic_White(Count),Non-Hispanic_White(%),Female(%),Rural(Count),Rural(%),Life_Expectancy,Deaths(Count)
0,1117,Alabama,Shelby,6.875,Best,1,33.2643,-86.6607,0,0,213605,23.77,14.81,$74098.00,26816,12.55,856,0.4,4650,2.18,115,0.05,12305,5.76,166591,77.99,51.51,44762.0,22.94,80.37,2117.0
1,1031,Alabama,Coffee,9.625,Best,2,31.4027,-85.9882,0,0,51874,23.72,16.57,$51998.00,8995,17.34,733,1.41,822,1.58,216,0.42,3684,7.1,36440,70.25,50.71,23573.0,47.2,77.2,743.0
2,1003,Alabama,Baldwin,10.5,Best,3,30.7275,-87.7226,0,0,212628,21.85,19.95,$56607.00,19037,8.95,1650,0.78,2459,1.16,146,0.07,9675,4.55,176582,83.05,51.45,77060.0,42.28,78.6,2827.0
3,1089,Alabama,Madison,11.0,Best,4,34.7631,-86.5502,0,5,361046,22.02,14.64,$62750.00,88376,24.48,2926,0.81,9810,2.72,411,0.11,17728,4.91,233693,64.73,51.14,55048.0,16.44,77.56,4576.0
4,1077,Alabama,Lauderdale,11.25,Best,5,34.9014,-87.654,0,0,92538,19.86,19.57,$46646.00,9271,10.02,410,0.44,736,0.8,56,0.06,2477,2.68,78332,84.65,52.12,45701.0,49.3,76.2,1480.0
5,1065,Alabama,Hale,56.75,Worst,6,32.7627,-87.6291,0,1,14812,23.25,18.79,$34905.00,8572,57.87,32,0.22,44,0.3,2,0.01,217,1.47,5870,39.63,52.48,14053.0,89.17,74.24,302.0
6,1131,Alabama,Wilcox,61.0,Worst,7,31.9893,-87.3082,0,0,10719,24.09,18.97,$25700.00,7572,70.64,24,0.22,19,0.18,2,0.02,152,1.42,2872,26.79,52.32,11670.0,100.0,74.17,239.0
7,1119,Alabama,Sumter,59.0,Worst,8,32.5911,-88.1988,0,1,12687,19.45,17.44,$26495.00,9113,71.83,15,0.12,214,1.69,4,0.03,136,1.07,3127,24.65,54.35,13763.0,100.0,72.9,246.0
8,1105,Alabama,Perry,60.25,Worst,9,32.6385,-87.2944,0,0,9339,21.7,19.1,$26703.00,6269,67.13,22,0.24,49,0.52,4,0.04,157,1.68,2787,29.84,53.25,10591.0,100.0,71.81,208.0
9,1085,Alabama,Lowndes,60.875,Worst,10,32.1547,-86.6501,0,0,10076,22.51,18.16,$33130.00,7298,72.43,33,0.33,36,0.36,4,0.04,167,1.66,2492,24.73,52.61,11299.0,100.0,70.82,244.0
