County,State,FIPS,Lyme_Disease_Incidence_Reported,Population,%<18_Yrs_Old,%65_Yrs_Old_and_over,Income($),African_American(Count),African_American(%),American_Indian/Alaskan_Native(Count),American_Indian/Alaskan_Native(%),Asian(Count),Asian(%),Native_Hawaiian/Other_Pacific_Islander(Count),Native_Hawaiian/Other_Pacific_Islander(%),Hispanic(Count),Hispanic(%),Non-Hispanic_White_(Count),Non-Hispanic_White(%),Female(%),Rural(Count),Rural(%),Life_Expectancy,Deaths(Count)
Autauga,Alabama,1001,1.0,55504,23.94,15.12,$58343.00,10687,19.25,264,0.48,710,1.28,58,0.10,1586,2.86,41336,74.47,51.34,22921.0,42.00,76.33,815.0
Baldwin,Alabama,1003,0.0,212628,21.85,19.95,$56607.00,19037,8.95,1650,0.78,2459,1.16,146,0.07,9675,4.55,176582,83.05,51.45,77060.0,42.28,78.60,2827.0
Barbour,Alabama,1005,1.0,25270,20.76,18.82,$32490.00,12115,47.94,165,0.65,117,0.46,47,0.19,1063,4.21,11613,45.96,47.23,18613.0,67.79,75.78,451.0
Bibb,Alabama,1007,0.0,22668,20.61,16.02,$45795.00,4864,21.46,97,0.43,50,0.22,26,0.11,598,2.64,16842,74.30,46.45,15663.0,68.35,73.93,445.0
Blount,Alabama,1009,0.0,58013,23.35,17.84,$48253.00,847,1.46,367,0.63,175,0.30,68,0.12,5549,9.57,50439,86.94,50.69,51562.0,89.95,74.60,1050.0
Bullock,Alabama,1011,0.0,10309,20.71,15.82,$29113.00,7130,69.16,87,0.84,20,0.19,80,0.78,850,8.25,2196,21.30,45.53,5607.0,51.37,73.12,205.0
Butler,Alabama,1013,0.0,19825,22.73,19.56,$36842.00,8845,44.62,75,0.38,204,1.03,10,0.05,285,1.44,10229,51.60,53.43,14921.0,71.23,73.51,393.0
Calhoun,Alabama,1015,3.0,114728,21.79,17.31,$45937.00,23852,20.79,607,0.53,1137,0.99,129,0.11,4302,3.75,82961,72.31,51.93,39955.0,33.70,73.10,2333.0
Chambers,Alabama,1017,2.0,33713,21.14,19.08,$36883.00,13313,39.49,100,0.30,421,1.25,15,0.04,822,2.44,18710,55.50,52.13,16816.0,49.15,74.12,691.0
Cherokee,Alabama,1019,0.0,25857,19.71,22.62,$44842.00,1090,4.22,163,0.63,77,0.30,8,0.03,425,1.64,23707,91.69,50.32,22282.0,85.74,74.35,575.0
Chilton,Alabama,1021,1.0,44067,23.88,16.36,$46405.00,4442,10.08,241,0.55,220,0.50,76,0.17,3431,7.79,35335,80.18,50.83,37858.0,86.74,74.19,850.0
Choctaw,Alabama,1023,0.0,12945,20.09,22.74,$36711.00,5389,41.63,23,0.18,19,0.15,0,0.00,126,0.97,7309,56.46,52.72,13859.0,100.00,74.28,273.0
Clarke,Alabama,1025,0.0,24083,21.88,19.28,$36719.00,10634,44.16,119,0.49,121,0.50,4,0.02,319,1.32,12703,52.75,52.78,19628.0,75.98,75.89,412.0
Clay,Alabama,1027,0.0,13367,20.57,20.24,$39642.00,1849,13.83,77,0.58,33,0.25,0,0.00,417,3.12,10761,80.50,51.05,13932.0,100.00,75.39,271.0
Cleburne,Alabama,1029,1.0,14900,22.95,19.11,$45480.00,459,3.08,69,0.46,30,0.20,11,0.07,361,2.42,13818,92.74,50.42,14972.0,100.00,73.63,334.0
