,FIPS,County,State,Lat,Long,Ticks_With_Lyme,Cases2019
0,1001.0,Autauga County,Alabama,32.5349,-86.6427,0,1
1,1003.0,Baldwin County,Alabama,30.7275,-87.7226,0,0
2,1005.0,Barbour County,Alabama,31.8696,-85.3932,0,1
3,1007.0,Bibb County,Alabama,32.9986,-87.1265,0,0
4,1009.0,Blount County,Alabama,33.9809,-86.5674,0,0
5,1011.0,Bullock County,Alabama,32.1005,-85.7157,0,0
6,1013.0,Butler County,Alabama,31.7524,-86.6803,0,0
7,1015.0,Calhoun County,Alabama,33.7714,-85.826,0,3
8,1017.0,Chambers County,Alabama,32.9143,-85.392,0,2
9,1019.0,Cherokee County,Alabama,34.1759,-85.6038,0,0
10,1021.0,Chilton County,Alabama,32.8479,-86.7188,0,1
11,1023.0,Choctaw County,Alabama,32.0198,-88.2632,0,0
12,1025.0,Clarke County,Alabama,31.6767,-87.8308,0,0
13,1027.0,Clay County,Alabama,33.269,-85.8606,0,0
14,1029.0,Cleburne County,Alabama,33.6745,-85.5188,0,1
15,1031.0,Coffee County,Alabama,31.4027,-85.9882,0,0
16,1033.0,Colbert County,Alabama,34.7005,-87.8049,0,2
17,1035.0,Conecuh County,Alabama,31.4292,-86.9937,0,0
18,1037.0,Coosa County,Alabama,32.9362,-86.2477,0,1
19,1039.0,Covington County,Alabama,31.2485,-86.4513,0,0
20,1041.0,Crenshaw County,Alabama,31.7315,-86.3135,0,0
21,1043.0,Cullman County,Alabama,34.1319,-86.8676,0,1
22,1045.0,Dale County,Alabama,31.4318,-85.611,0,0
23,1047.0,Dallas County,Alabama,32.326,-87.1065,0,1
24,1049.0,DeKalb County,Alabama,34.4598,-85.8041,0,5
25,1051.0,Elmore County,Alabama,32.5966,-86.1492,0,2
26,1053.0,Escambia County,Alabama,31.1261,-87.1616,0,1
27,1055.0,Etowah County,Alabama,34.0453,-86.0348,0,1
28,1057.0,Fayette County,Alabama,33.7212,-87.7389,0,3
29,1059.0,Franklin County,Alabama,34.4417,-87.8437,0,0
30,1061.0,Geneva County,Alabama,31.0951,-85.8391,0,1
31,1063.0,Greene County,Alabama,32.8531,-87.9522,0,0
32,1065.0,Hale County,Alabama,32.7627,-87.6291,0,1
33,1067.0,Henry County,Alabama,31.5147,-85.2414,0,0
34,1069.0,Houston County,Alabama,31.1532,-85.3025,0,1
35,1071.0,Jackson County,Alabama,34.7795,-85.9994,0,3
36,1073.0,Jefferson County,Alabama,33.5543,-86.8964,0,3
37,1075.0,Lamar County,Alabama,33.7791,-88.097,0,2
38,1077.0,Lauderdale County,Alabama,34.9014,-87.654,0,0
39,1079.0,Lawrence County,Alabama,34.5217,-87.311,0,0
40,1081.0,Lee County,Alabama,32.6011,-85.3555,0,2
41,1083.0,Limestone County,Alabama,34.8101,-86.9814,0,2
42,1085.0,Lowndes County,Alabama,32.1547,-86.6501,0,0
43,1087.0,Macon County,Alabama,32.3859,-85.6927,0,0
44,1089.0,Madison County,Alabama,34.7631,-86.5502,0,5
45,1091.0,Marengo County,Alabama,32.2477,-87.7895,0,2
46,1093.0,Marion County,Alabama,34.1366,-87.8871,0,1
47,1095.0,Marshall County,Alabama,34.367,-86.3066,0,0
48,1097.0,Mobile County,Alabama,30.7872,-88.2058,0,2
49,1099.0,Monroe County,Alabama,31.5709,-87.3655,0,0
50,1101.0,Montgomery County,Alabama,32.2203,-86.2076,0,3
51,1103.0,Morgan County,Alabama,34.4535,-86.8529,0,0
52,1105.0,Perry County,Alabama,32.6385,-87.2944,0,0
53,1107.0,Pickens County,Alabama,33.2808,-88.0888,0,1
54,1109.0,Pike County,Alabama,31.8027,-85.9409,0,0
55,1111.0,Randolph County,Alabama,33.2938,-85.4591,0,0
