FIPS,State,County,Lyme_Cases_Reported_per_100000,Avg_Health_Rank,Lifespan_Rank,Life_Quality_Rank,Health_Behaviors_Rank,Clinical_Care_Rank,Social_Economic_Factors_Rank,Physical_Environment_Rank,Population,Minors_Population,Senior_Population,Income,African_American,American_Indian/Alaskan_Native,Asian,Native_Hawaiian/Other_Pacific_Islander,Hispanic,Caucasian/White,Female,Rural,Life_Expectancy,Deaths(Count),Lat,Long,Ticks_With_Lyme,Norm_Incidence_Bin
1001,Alabama,Autauga County,1.80167195157106,14.375,8,5,15,14,5,50,55504.0,23.94,15.12,583.43,19.25,0.48,1.28,0.1,2.86,74.47,51.34,42.0,76.33,815.0,32.5349,-86.6427,0,1
1003,Alabama,Baldwin County,0.0,10.5,3,4,3,4,3,62,212628.0,21.85,19.95,566.07,8.95,0.78,1.16,0.07,4.55,83.05,51.45,42.28,78.6,2827.0,30.7275,-87.7226,0,0
1005,Alabama,Barbour County,3.95726157499011,41.125,14,48,53,30,61,32,25270.0,20.76,18.82,324.9,47.94,0.65,0.46,0.19,4.21,45.96,47.23,67.79,75.78,451.0,31.8696,-85.3932,0,1
1007,Alabama,Bibb County,0.0,32.875,47,24,38,16,38,31,22668.0,20.61,16.02,457.95,21.46,0.43,0.22,0.11,2.64,74.3,46.45,68.35,73.93,445.0,32.9986,-87.1265,0,0
1009,Alabama,Blount County,0.0,25.875,36,14,10,41,15,53,58013.0,23.35,17.84,482.53,1.46,0.63,0.3,0.12,9.57,86.94,50.69,89.95,74.6,1050.0,33.9809,-86.5674,0,0
1011,Alabama,Bullock County,0.0,56.25,53,58,65,62,64,24,10309.0,20.71,15.82,291.13,69.16,0.84,0.19,0.78,8.25,21.3,45.53,51.37,73.12,205.0,32.1005,-85.7157,0,0
1013,Alabama,Butler County,0.0,51.0,63,56,56,52,55,8,19825.0,22.73,19.56,368.42,44.62,0.38,1.03,0.05,1.44,51.6,53.43,71.23,73.51,393.0,31.7524,-86.6803,0,0
1015,Alabama,Calhoun County,2.61488041280245,33.0,55,10,28,34,27,41,114728.0,21.79,17.31,459.37,20.79,0.53,0.99,0.11,3.75,72.31,51.93,33.7,73.1,2333.0,33.7714,-85.826,0,1
1017,Alabama,Chambers County,5.93242962655356,44.5,42,53,57,25,37,46,33713.0,21.14,19.08,368.83,39.49,0.3,1.25,0.04,2.44,55.5,52.13,49.15,74.12,691.0,32.9143,-85.392,0,1
1019,Alabama,Cherokee County,0.0,28.125,43,8,12,54,19,43,25857.0,19.71,22.62,448.42,4.22,0.63,0.3,0.03,1.64,91.69,50.32,85.74,74.35,575.0,34.1759,-85.6038,0,0
1021,Alabama,Chilton County,2.26927179068237,28.25,32,22,18,46,29,27,44067.0,23.88,16.36,464.05,10.08,0.55,0.5,0.17,7.79,80.18,50.83,86.74,74.19,850.0,32.8479,-86.7188,0,1
1023,Alabama,Choctaw County,0.0,36.625,52,45,35,19,52,3,12945.0,20.09,22.74,367.11,41.63,0.18,0.15,0.0,0.97,56.46,52.72,100.0,74.28,273.0,32.0198,-88.2632,0,0
1025,Alabama,Clarke County,0.0,39.75,19,55,47,39,57,4,24083.0,21.88,19.28,367.19,44.16,0.49,0.5,0.02,1.32,52.75,52.78,75.98,75.89,412.0,31.6767,-87.8308,0,0
1027,Alabama,Clay County,0.0,31.625,17,21,16,51,34,63,13367.0,20.57,20.24,396.42,13.83,0.58,0.25,0.0,3.12,80.5,51.05,100.0,75.39,271.0,33.269,-85.8606,0,0
1029,Alabama,Cleburne County,6.71140939597315,27.75,51,11,17,58,14,14,14900.0,22.95,19.11,454.8,3.08,0.46,0.2,0.07,2.42,92.74,50.42,100.0,73.63,334.0,33.6745,-85.5188,0,1
1031,Alabama,Coffee County,0.0,9.625,5,12,9,15,8,15,51874.0,23.72,16.57,519.98,17.34,1.41,1.58,0.42,7.1,70.25,50.71,47.2,77.2,743.0,31.4027,-85.9882,0,0
1033,Alabama,Colbert County,3.6697247706422,17.625,26,20,7,11,18,29,54500.0,21.01,19.6,461,16.08,0.65,0.58,0.06,2.55,78.48,52.02,43.89,74.85,1016.0,34.7005,-87.8049,0,1
1035,Alabama,Conecuh County,0.0,54.75,30,65,59,66,59,42,12469.0,21.03,21.92,307.96,46.18,0.47,0.21,0.03,2.0,49.91,51.97,80.95,75.03,272.0,31.4292,-86.9937,0,0
1037,Alabama,Coosa County,9.29886553840431,46.125,59,51,41,43,49,25,10754.0,16.4,22.76,424.42,30.17,0.59,0.15,0.17,2.43,65.77,49.8,100.0,73.42,228.0,32.9362,-86.2477,0,1
1039,Alabama,Covington County,0.0,33.5,44,38,37,48,20,13,37092.0,21.83,20.66,390.93,12.42,0.67,0.49,0.01,1.65,83.4,51.77,69.65,74.22,754.0,31.2485,-86.4513,0,0
1041,Alabama,Crenshaw County,0.0,29.125,11,31,42,49,45,2,13871.0,23.08,18.72,384.19,23.32,0.58,1.09,0.03,2.15,71.17,51.58,100.0,74.83,271.0,31.7315,-86.3135,0,0
1043,Alabama,Cullman County,1.20838620022959,23.875,23,15,26,29,11,51,82755.0,22.47,18.29,459.25,1.19,0.61,0.59,0.1,4.33,92.11,50.57,73.24,74.68,1493.0,34.1319,-86.8676,0,1
1045,Alabama,Dale County,0.0,18.5,15,17,19,24,22,21,49226.0,23.09,16.34,425.72,20.37,0.87,1.36,0.21,6.51,68.62,50.7,50.89,75.41,836.0,31.4318,-85.611,0,0
