,FIPS,State,County,Mean_Rank
1,01001,Alabama,Autauga,14.375
2,01003,Alabama,Baldwin,10.5
3,01005,Alabama,Barbour,41.125
4,01007,Alabama,Bibb,32.875
5,01009,Alabama,Blount,25.875
6,01011,Alabama,Bullock,56.25
7,01013,Alabama,Butler,51.0
8,01015,Alabama,Calhoun,33.0
9,01017,Alabama,Chambers,44.5
10,01019,Alabama,Cherokee,28.125
11,01021,Alabama,Chilton,28.25
12,01023,Alabama,Choctaw,36.625
13,01025,Alabama,Clarke,39.75
14,01027,Alabama,Clay,31.625
15,01029,Alabama,Cleburne,27.75
16,01031,Alabama,Coffee,9.625
17,01033,Alabama,Colbert,17.625
18,01035,Alabama,Conecuh,54.75
19,01037,Alabama,Coosa,46.125
20,01039,Alabama,Covington,33.5
21,01041,Alabama,Crenshaw,29.125
22,01043,Alabama,Cullman,23.875
23,01045,Alabama,Dale,18.5
24,01047,Alabama,Dallas,55.625
25,01049,Alabama,DeKalb,36.125
26,01051,Alabama,Elmore,15.25
27,01053,Alabama,Escambia,46.0
28,01055,Alabama,Etowah,40.125
29,01057,Alabama,Fayette,21.375
30,01059,Alabama,Franklin,34.625
31,01061,Alabama,Geneva,38.375
32,01063,Alabama,Greene,56.5
33,01065,Alabama,Hale,56.75
34,01067,Alabama,Henry,17.75
35,01069,Alabama,Houston,21.75
36,01071,Alabama,Jackson,35.625
37,01073,Alabama,Jefferson,23.0
38,01075,Alabama,Lamar,32.5
39,01077,Alabama,Lauderdale,11.25
40,01079,Alabama,Lawrence,37.625
41,01081,Alabama,Lee,12.625
42,01083,Alabama,Limestone,12.5
43,01085,Alabama,Lowndes,60.875
44,01087,Alabama,Macon,54.375
45,01089,Alabama,Madison,11.0
46,01091,Alabama,Marengo,46.75
47,01093,Alabama,Marion,28.375
48,01095,Alabama,Marshall,30.375
49,01097,Alabama,Mobile,32.375
50,01099,Alabama,Monroe,48.25
51,01101,Alabama,Montgomery,30.0
52,01103,Alabama,Morgan,18.125
53,01105,Alabama,Perry,60.25
54,01107,Alabama,Pickens,33.625
55,01109,Alabama,Pike,39.5
56,01111,Alabama,Randolph,33.875
57,01113,Alabama,Russell,43.375
58,01115,Alabama,St. Clair,20.125
59,01117,Alabama,Shelby,6.875
60,01119,Alabama,Sumter,59.0
61,01121,Alabama,Talladega,43.25
62,01123,Alabama,Tallapoosa,36.5
63,01125,Alabama,Tuscaloosa,17.625
64,01127,Alabama,Walker,38.25
65,01129,Alabama,Washington,45.25
66,01131,Alabama,Wilcox,61.0
67,01133,Alabama,Winston,38.875
68,02013,Alaska,Aleutians East,
69,02016,Alaska,Aleutians West,11.625
70,02020,Alaska,Anchorage,8.125
71,02050,Alaska,Bethel,20.75
72,02060,Alaska,Bristol Bay,12.125
73,02068,Alaska,Denali,
74,02070,Alaska,Dillingham,19.125
75,02090,Alaska,Fairbanks North Star,7.875
76,02100,Alaska,Haines,7.25
77,02105,Alaska,Hoonah-Angoon,15.125
78,02110,Alaska,Juneau,4.375
79,02122,Alaska,Kenai Peninsula,10.0
80,02130,Alaska,Ketchikan Gateway,10.25
81,02150,Alaska,Kodiak Island,7.5
82,02158,Alaska,Kusilvak,22.75
83,02164,Alaska,Lake and Peninsula,17.5
84,02170,Alaska,Matanuska-Susitna,11.75
85,02180,Alaska,Nome,21.125
86,02185,Alaska,North Slope,16.5
87,02188,Alaska,Northwest Arctic,21.875
88,02195,Alaska,Petersburg,7.0
89,02198,Alaska,Prince of Wales-Hyder,14.0
90,02220,Alaska,Sitka,6.25
91,02230,Alaska,Skagway,
92,02240,Alaska,Southeast Fairbanks,8.0
93,02261,Alaska,Valdez-Cordova,8.625
94,02275,Alaska,Wrangell,12.0
95,02282,Alaska,Yakutat,
96,02290,Alaska,Yukon-Koyukuk,20.875
97,04001,Arizona,Apache,14.625
98,04003,Arizona,Cochise,7.125
99,04005,Arizona,Coconino,6.625
100,04007,Arizona,Gila,11.75
101,04009,Arizona,Graham,8.25
102,04011,Arizona,Greenlee,3.625
103,04012,Arizona,La Paz,9.625
104,04013,Arizona,Maricopa,4.125
105,04015,Arizona,Mohave,10.375
106,04017,Arizona,Navajo,11.625
107,04019,Arizona,Pima,4.5
108,04021,Arizona,Pinal,8.125
109,04023,Arizona,Santa Cruz,7.125
110,04025,Arizona,Yavapai,3.625
111,04027,Arizona,Yuma,8.875
112,05001,Arkansas,Arkansas,37.75
113,05003,Arkansas,Ashley,48.0
114,05005,Arkansas,Baxter,9.875
115,05007,Arkansas,Benton,8.875
116,05009,Arkansas,Boone,9.5
117,05011,Arkansas,Bradley,61.25
118,05013,Arkansas,Calhoun,40.375
119,05015,Arkansas,Carroll,22.75
120,05017,Arkansas,Chicot,65.75
121,05019,Arkansas,Clark,27.0
122,05021,Arkansas,Clay,52.375
123,05023,Arkansas,Cleburne,17.125
124,05025,Arkansas,Cleveland,21.5
125,05027,Arkansas,Columbia,44.0
126,05029,Arkansas,Conway,41.0
127,05031,Arkansas,Craighead,18.25
128,05033,Arkansas,Crawford,28.25
129,05035,Arkansas,Crittenden,57.0
130,05037,Arkansas,Cross,51.375
131,05039,Arkansas,Dallas,37.25
132,05041,Arkansas,Desha,71.0
133,05043,Arkansas,Drew,47.125
134,05045,Arkansas,Faulkner,11.375
135,05047,Arkansas,Franklin,29.375
136,05049,Arkansas,Fulton,31.0
137,05051,Arkansas,Garland,27.125
138,05053,Arkansas,Grant,14.125
139,05055,Arkansas,Greene,28.625
140,05057,Arkansas,Hempstead,51.25
141,05059,Arkansas,Hot Spring,36.875
142,05061,Arkansas,Howard,42.5
143,05063,Arkansas,Independence,27.125
144,05065,Arkansas,Izard,36.0
145,05067,Arkansas,Jackson,63.375
146,05069,Arkansas,Jefferson,59.75
147,05071,Arkansas,Johnson,35.625
148,05073,Arkansas,Lafayette,53.5
149,05075,Arkansas,Lawrence,37.375
150,05077,Arkansas,Lee,60.875
151,05079,Arkansas,Lincoln,38.5
152,05081,Arkansas,Little River,38.75
153,05083,Arkansas,Logan,37.75
154,05085,Arkansas,Lonoke,22.0
155,05087,Arkansas,Madison,41.75
156,05089,Arkansas,Marion,28.375
157,05091,Arkansas,Miller,45.25
158,05093,Arkansas,Mississippi,68.0
159,05095,Arkansas,Monroe,64.0
160,05097,Arkansas,Montgomery,33.0
161,05099,Arkansas,Nevada,54.125
162,05101,Arkansas,Newton,22.25
163,05103,Arkansas,Ouachita,46.25
164,05105,Arkansas,Perry,27.375
165,05107,Arkansas,Phillips,66.25
166,05109,Arkansas,Pike,26.125
167,05111,Arkansas,Poinsett,60.75
168,05113,Arkansas,Polk,32.0
169,05115,Arkansas,Pope,23.75
170,05117,Arkansas,Prairie,30.375
171,05119,Arkansas,Pulaski,19.375
172,05121,Arkansas,Randolph,39.25
173,05123,Arkansas,St. Francis,54.625
174,05125,Arkansas,Saline,11.75
175,05127,Arkansas,Scott,43.125
176,05129,Arkansas,Searcy,26.5
177,05131,Arkansas,Sebastian,25.75
178,05133,Arkansas,Sevier,38.5
179,05135,Arkansas,Sharp,53.75
180,05137,Arkansas,Stone,39.625
181,05139,Arkansas,Union,49.5
182,05141,Arkansas,Van Buren,32.5
183,05143,Arkansas,Washington,7.75
184,05145,Arkansas,White,31.5
185,05147,Arkansas,Woodruff,54.5
186,05149,Arkansas,Yell,52.125
187,06001,California,Alameda,10.25
188,06003,California,Alpine,37.75
189,06005,California,Amador,21.75
190,06007,California,Butte,31.75
191,06009,California,Calaveras,22.875
192,06011,California,Colusa,34.125
193,06013,California,Contra Costa,14.875
194,06015,California,Del Norte,38.75
195,06017,California,El Dorado,14.75
196,06019,California,Fresno,49.125
197,06021,California,Glenn,39.75
198,06023,California,Humboldt,38.25
199,06025,California,Imperial,45.75
200,06027,California,Inyo,29.5
201,06029,California,Kern,53.75
202,06031,California,Kings,44.625
203,06033,California,Lake,50.625
204,06035,California,Lassen,36.25
205,06037,California,Los Angeles,31.75
206,06039,California,Madera,45.25
207,06041,California,Marin,3.125
208,06043,California,Mariposa,31.5
209,06045,California,Mendocino,39.875
210,06047,California,Merced,49.0
211,06049,California,Modoc,40.125
212,06051,California,Mono,20.125
213,06053,California,Monterey,28.875
214,06055,California,Napa,14.25
215,06057,California,Nevada,14.125
216,06059,California,Orange,14.375
217,06061,California,Placer,5.625
218,06063,California,Plumas,38.75
219,06065,California,Riverside,33.875
220,06067,California,Sacramento,28.625
221,06069,California,San Benito,24.125
222,06071,California,San Bernardino,43.375
223,06073,California,San Diego,19.25
224,06075,California,San Francisco,7.5
225,06077,California,San Joaquin,43.25
226,06079,California,San Luis Obispo,15.0
227,06081,California,San Mateo,6.0
228,06083,California,Santa Barbara,18.5
229,06085,California,Santa Clara,7.5
230,06087,California,Santa Cruz,15.75
231,06089,California,Shasta,34.75
232,06091,California,Sierra,32.125
233,06093,California,Siskiyou,41.875
234,06095,California,Solano,26.25
235,06097,California,Sonoma,14.375
236,06099,California,Stanislaus,39.5
237,06101,California,Sutter,32.0
238,06103,California,Tehama,42.375
239,06105,California,Trinity,41.5
240,06107,California,Tulare,52.5
241,06109,California,Tuolumne,20.875
242,06111,California,Ventura,17.875
243,06113,California,Yolo,15.25
244,06115,California,Yuba,45.625
245,08001,Colorado,Adams,42.75
246,08003,Colorado,Alamosa,45.125
247,08005,Colorado,Arapahoe,21.5
248,08007,Colorado,Archuleta,22.25
249,08009,Colorado,Baca,33.5
250,08011,Colorado,Bent,49.75
251,08013,Colorado,Boulder,11.875
252,08014,Colorado,Broomfield,10.375
253,08015,Colorado,Chaffee,15.375
254,08017,Colorado,Cheyenne,
255,08019,Colorado,Clear Creek,15.5
256,08021,Colorado,Conejos,48.75
257,08023,Colorado,Costilla,54.375
258,08025,Colorado,Crowley,47.625
259,08027,Colorado,Custer,31.125
260,08029,Colorado,Delta,42.0
261,08031,Colorado,Denver,34.75
262,08033,Colorado,Dolores,38.5
263,08035,Colorado,Douglas,5.25
264,08037,Colorado,Eagle,13.375
265,08039,Colorado,Elbert,19.75
266,08041,Colorado,El Paso,34.75
267,08043,Colorado,Fremont,41.75
268,08045,Colorado,Garfield,28.5
269,08047,Colorado,Gilpin,16.875
270,08049,Colorado,Grand,18.875
271,08051,Colorado,Gunnison,20.75
272,08053,Colorado,Hinsdale,
273,08055,Colorado,Huerfano,43.75
274,08057,Colorado,Jackson,30.5
275,08059,Colorado,Jefferson,17.875
276,08061,Colorado,Kiowa,35.25
277,08063,Colorado,Kit Carson,29.875
278,08065,Colorado,Lake,32.25
279,08067,Colorado,La Plata,16.75
280,08069,Colorado,Larimer,15.25
281,08071,Colorado,Las Animas,49.625
282,08073,Colorado,Lincoln,29.5
283,08075,Colorado,Logan,37.125
284,08077,Colorado,Mesa,42.125
285,08079,Colorado,Mineral,
286,08081,Colorado,Moffat,35.625
287,08083,Colorado,Montezuma,46.75
288,08085,Colorado,Montrose,32.75
289,08087,Colorado,Morgan,40.0
290,08089,Colorado,Otero,52.5
291,08091,Colorado,Ouray,17.375
292,08093,Colorado,Park,25.0
293,08095,Colorado,Phillips,20.5
294,08097,Colorado,Pitkin,6.75
295,08099,Colorado,Prowers,45.875
296,08101,Colorado,Pueblo,51.875
297,08103,Colorado,Rio Blanco,23.0
298,08105,Colorado,Rio Grande,42.25
299,08107,Colorado,Routt,10.125
300,08109,Colorado,Saguache,49.0
301,08111,Colorado,San Juan,
302,08113,Colorado,San Miguel,22.0
303,08115,Colorado,Sedgwick,34.125
304,08117,Colorado,Summit,13.75
305,08119,Colorado,Teller,33.25
306,08121,Colorado,Washington,23.5
307,08123,Colorado,Weld,30.625
308,08125,Colorado,Yuma,24.0
309,09001,Connecticut,Fairfield,3.625
310,09003,Connecticut,Hartford,5.125
311,09005,Connecticut,Litchfield,3.625
312,09007,Connecticut,Middlesex,2.125
313,09009,Connecticut,New Haven,6.875
314,09011,Connecticut,New London,5.5
315,09013,Connecticut,Tolland,2.125
316,09015,Connecticut,Windham,7.0
317,10001,Delaware,Kent,2.75
318,10003,Delaware,New Castle,1.25
319,10005,Delaware,Sussex,2.0
320,11001,District of Columbia,District of Columbia,1.0
321,12001,Florida,Alachua,21.5
322,12003,Florida,Baker,42.25
323,12005,Florida,Bay,36.5
324,12007,Florida,Bradford,52.25
325,12009,Florida,Brevard,24.5
326,12011,Florida,Broward,22.125
327,12013,Florida,Calhoun,49.875
328,12015,Florida,Charlotte,17.125
329,12017,Florida,Citrus,40.0
330,12019,Florida,Clay,19.75
331,12021,Florida,Collier,6.625
332,12023,Florida,Columbia,49.75
333,12027,Florida,DeSoto,42.75
334,12029,Florida,Dixie,54.875
335,12031,Florida,Duval,35.5
336,12033,Florida,Escambia,37.625
337,12035,Florida,Flagler,18.125
338,12037,Florida,Franklin,44.25
339,12039,Florida,Gadsden,59.875
340,12041,Florida,Gilchrist,34.5
341,12043,Florida,Glades,46.25
342,12045,Florida,Gulf,32.0
343,12047,Florida,Hamilton,56.625
344,12049,Florida,Hardee,42.25
345,12051,Florida,Hendry,42.25
346,12053,Florida,Hernando,33.25
347,12055,Florida,Highlands,38.625
348,12057,Florida,Hillsborough,24.375
349,12059,Florida,Holmes,48.125
