County,State,FIPS,Lyme Disease Incidence Reported
Wyoming,Wyoming,99945,3
Wisconsin,Wisconsin,99944,0
West Virginia,West Virginia,99943,256
Washington,Washington,99942,0
Virginia,Virginia,99941,124
Vermont,Vermont,99940,0
Texas,Texas,99939,20
Tennessee,Tennessee,99938,14
South Dakota,South Dakota,99937,0
South Carolina,South Carolina,99936,0
Rhode Island,Rhode Island,99935,0
Pennsylvania,Pennsylvania,99934,0
Oregon,Oregon,99933,0
Ohio,Ohio,99932,0
North Dakota,North Dakota,99931,0
North Carolina,North Carolina,99930,0
New Mexico,New Mexico,99929,0
New Jersey,New Jersey,99928,2
New Hampshire,New Hampshire,99927,21
Nevada,Nevada,99926,1
Nebraska,Nebraska,99925,0
Montana,Montana,99924,4
Missouri,Missouri,99923,0
Mississippi,Mississippi,99922,0
Minnesota,Minnesota,99921,0
Michigan,Michigan,99920,1
Massachusetts,Massachusetts,99919,0
Maryland,Maryland,99918,0
Maine,Maine,99917,1
Lousiana,Louisiana,99916,4
LaSalle,Louisiana,99915,0
Kentucky,Kentucky,99914,16
Kansas,Kansas,99913,1
Indiana,Indiana,99912,62
Illinois,Illinois,99911,0
Georgia,Georgia,99910,0
Florida,Florida,99909,0
Delaware,Delaware,99907,25
Connecticut,Connecticut,99906,7
Colorado,Colorado,99905,0
California,California,99904,0
Arizona,Arizona,99903,0
Alaska,Alaska,99902,0
Alabama,Alabama,99901,0
Weston,Wyoming,56045,0
Washakie,Wyoming,56043,0
Uinta,Wyoming,56041,0
Teton,Wyoming,56039,0
Sweetwater,Wyoming,56037,0
Sublette,Wyoming,56035,0
Sheridan,Wyoming,56033,0
Platte,Wyoming,56031,0
Park,Wyoming,56029,0
Niobrara,Wyoming,56027,0
Natrona,Wyoming,56025,0
Lincoln,Wyoming,56023,0
Laramie,Wyoming,56021,1
Johnson,Wyoming,56019,0
Hot Springs,Wyoming,56017,0
Goshen,Wyoming,56015,0
Fremont,Wyoming,56013,1
Crook,Wyoming,56011,0
Converse,Wyoming,56009,0
Carbon,Wyoming,56007,0
Campbell,Wyoming,56005,0
Big Horn,Wyoming,56003,0
Albany,Wyoming,56001,0
Wood,Wisconsin,55141,40
Winnebago,Wisconsin,55139,27
Waushara,Wisconsin,55137,25
Waupaca,Wisconsin,55135,49
Waukesha,Wisconsin,55133,155
Washington,Wisconsin,55131,27
Washburn,Wisconsin,55129,26
Walworth,Wisconsin,55127,14
Vilas,Wisconsin,55125,12
Vernon,Wisconsin,55123,65
Trempealeau,Wisconsin,55121,20
Taylor,Wisconsin,55119,12
Sheboygan,Wisconsin,55117,6
Shawano,Wisconsin,55115,10
Sawyer,Wisconsin,55113,13
Sauk,Wisconsin,55111,68
St. Croix,Wisconsin,55109,18
Rusk,Wisconsin,55107,1
Rock,Wisconsin,55105,11
Richland,Wisconsin,55103,22
Racine,Wisconsin,55101,17
Price,Wisconsin,55099,2
Portage,Wisconsin,55097,56
Polk,Wisconsin,55095,47
Pierce,Wisconsin,55093,27
Pepin,Wisconsin,55091,4
Ozaukee,Wisconsin,55089,9
Outagamie,Wisconsin,55087,68
Oneida,Wisconsin,55085,41
Oconto,Wisconsin,55083,63
Monroe,Wisconsin,55081,27
Milwaukee,Wisconsin,55079,72
Menominee,Wisconsin,55078,9
Marquette,Wisconsin,55077,53
Marinette,Wisconsin,55075,92
