Ctyname,Ctyname_Updated,Stname,Unique Identifier,FIPS,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
Alabama,Alabama,Alabama,Alabama | Alabama,99901,1,999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Alaska,Alaska,Alaska,Alaska | Alaska,99902,2,999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Arizona,Arizona,Arizona,Arizona | Arizona,99903,4,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,California,California,California | California,99904,6,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,Colorado,Colorado,Colorado | Colorado,99905,8,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,Connecticut,Connecticut,Connecticut | Connecticut,99906,9,999,111,122,135,52,47,57,32,704,1635,1126,1448,1432,1402,597,49,33,20,68,16,7
Delaware,Delaware,Delaware,Delaware | Delaware,99907,10,999,0,0,0,0,66,50,16,27,30,21,37,34,38,29,32,36,59,45,33,25
Florida,Florida,Florida,Florida | Florida,99909,12,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Georgia,Georgia,Georgia | Georgia,99910,13,999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Illinois,Illinois,Illinois,Illinois | Illinois,99911,17,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,Indiana,Indiana,Indiana | Indiana,99912,18,999,0,0,0,0,0,0,0,0,0,16,12,10,7,19,15,26,32,0,0,62
Kansas,Kansas,Kansas,Kansas | Kansas,99913,20,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
