,FIPS,State,County,Lyme_Burgdorferi_Present,Lyme_Mayonii_Present
0,1001,AL  ,Autauga County                                                                                      ,0,0
1,1003,AL  ,Baldwin County                                                                                      ,0,0
2,1005,AL  ,Barbour County                                                                                      ,0,0
3,1007,AL  ,Bibb County                                                                                         ,0,0
4,1009,AL  ,Blount County                                                                                       ,0,0
5,1011,AL  ,Bullock County                                                                                      ,0,0
6,1013,AL  ,Butler County                                                                                       ,0,0
7,1015,AL  ,Calhoun County                                                                                      ,0,0
8,1017,AL  ,Chambers County                                                                                     ,0,0
9,1019,AL  ,Cherokee County                                                                                     ,0,0
10,1021,AL  ,Chilton County                                                                                      ,0,0
11,1023,AL  ,Choctaw County                                                                                      ,0,0
12,1025,AL  ,Clarke County                                                                                       ,0,0
13,1027,AL  ,Clay County                                                                                         ,0,0
14,1029,AL  ,Cleburne County                                                                                     ,0,0
15,1031,AL  ,Coffee County                                                                                       ,0,0
16,1033,AL  ,Colbert County                                                                                      ,0,0
17,1035,AL  ,Conecuh County                                                                                      ,0,0
18,1037,AL  ,Coosa County                                                                                        ,0,0
19,1039,AL  ,Covington County                                                                                    ,0,0
20,1041,AL  ,Crenshaw County                                                                                     ,0,0
21,1043,AL  ,Cullman County                                                                                      ,0,0
22,1045,AL  ,Dale County                                                                                         ,0,0
23,1047,AL  ,Dallas County                                                                                       ,0,0
24,1049,AL  ,DeKalb County                                                                                       ,0,0
25,1051,AL  ,Elmore County                                                                                       ,0,0
26,1053,AL  ,Escambia County                                                                                     ,0,0
27,1055,AL  ,Etowah County                                                                                       ,0,0
28,1057,AL  ,Fayette County                                                                                      ,0,0
29,1059,AL  ,Franklin County                                                                                     ,0,0
30,1061,AL  ,Geneva County                                                                                       ,0,0
31,1063,AL  ,Greene County                                                                                       ,0,0
32,1065,AL  ,Hale County                                                                                         ,0,0
33,1067,AL  ,Henry County                                                                                        ,0,0
34,1069,AL  ,Houston County                                                                                      ,0,0
35,1071,AL  ,Jackson County                                                                                      ,0,0
36,1073,AL  ,Jefferson County                                                                                    ,0,0
37,1075,AL  ,Lamar County                                                                                        ,0,0
38,1077,AL  ,Lauderdale County                                                                                   ,0,0
39,1079,AL  ,Lawrence County                                                                                     ,0,0
40,1081,AL  ,Lee County                                                                                          ,0,0
41,1083,AL  ,Limestone County                                                                                    ,0,0
42,1085,AL  ,Lowndes County                                                                                      ,0,0
43,1087,AL  ,Macon County                                                                                        ,0,0
44,1089,AL  ,Madison County                                                                                      ,0,0
45,1091,AL  ,Marengo County                                                                                      ,0,0
46,1093,AL  ,Marion County                                                                                       ,0,0
47,1095,AL  ,Marshall County                                                                                     ,0,0
48,1097,AL  ,Mobile County                                                                                       ,0,0
49,1099,AL  ,Monroe County                                                                                       ,0,0
50,1101,AL  ,Montgomery County                                                                                   ,0,0
51,1103,AL  ,Morgan County                                                                                       ,0,0
52,1105,AL  ,Perry County                                                                                        ,0,0
53,1107,AL  ,Pickens County                                                                                      ,0,0
54,1109,AL  ,Pike County                                                                                         ,0,0
55,1111,AL  ,Randolph County                                                                                     ,0,0
56,1113,AL  ,Russell County                                                                                      ,0,0
57,1115,AL  ,St. Clair County                                                                                    ,0,0
58,1117,AL  ,Shelby County                                                                                       ,0,0
59,1119,AL  ,Sumter County                                                                                       ,0,0
60,1121,AL  ,Talladega County                                                                                    ,0,0
61,1123,AL  ,Tallapoosa County                                                                                   ,0,0
62,1125,AL  ,Tuscaloosa County                                                                                   ,0,0
63,1127,AL  ,Walker County                                                                                       ,0,0
64,1129,AL  ,Washington County                                                                                   ,0,0
65,1131,AL  ,Wilcox County                                                                                       ,0,0
66,1133,AL  ,Winston County                                                                                      ,0,0
67,2013,AK  ,Aleutians East Borough                                                                              ,0,0
68,2016,AK  ,Aleutians West Census                                                                               ,0,0
69,2020,AK  ,Anchorage Borough                                                                                   ,0,0
70,2050,AK  ,Bethel Census Area                                                                                  ,0,0
71,2060,AK  ,Bristol Bay Borough                                                                                 ,0,0
72,2068,AK  ,Denali Borough                                                                                      ,0,0
73,2070,AK  ,Dillingham Census Area                                                                              ,0,0
74,2090,AK  ,Fairbanks North Star                                                                                ,0,0
75,2100,AK  ,Haines Borough                                                                                      ,0,0
76,2110,AK  ,Juneau Borough                                                                                      ,0,0
77,2122,AK  ,Kenai Peninsula Borough                                                                             ,0,0
78,2130,AK  ,Ketchikan Gateway Borough                                                                           ,0,0
79,2150,AK  ,Kodiak Island Borough                                                                               ,0,0
80,2164,AK  ,Lake and Peninsula Borough                                                                          ,0,0
81,2170,AK  ,Matanuska-Susitna Borough                                                                           ,0,0
82,2180,AK  ,Nome Census Area                                                                                    ,0,0
83,2185,AK  ,North Slope Borough                                                                                 ,0,0
84,2188,AK  ,Northwest Arctic Borough                                                                            ,0,0
85,2201,AK  ,Prince of Wales-Outer Ketchikan                                                                     ,0,0
86,2220,AK  ,Sitka Borough                                                                                       ,0,0
87,2232,AK  ,Skagway-Hoonah-Angoon                                                                               ,0,0
88,2240,AK  ,Southeast Fairbanks Census                                                                          ,0,0
89,2261,AK  ,Valdez-Cordova Census                                                                               ,0,0
90,2270,AK  ,Wade Hampton Census A                                                                               ,0,0
91,2280,AK  ,Wrangell-Petersburg Census                                                                          ,0,0
92,2282,AK  ,Yakutat Borough                                                                                     ,0,0
93,2290,AK  ,Yukon-Koyukuk Census                                                                                ,0,0
94,2999,AK  ,Unspecified County                                                                                  ,0,0
95,4001,AZ  ,Apache County                                                                                       ,0,0
96,4003,AZ  ,Cochise County                                                                                      ,0,0
97,4005,AZ  ,Coconino County                                                                                     ,0,0
98,4007,AZ  ,Gila County                                                                                         ,0,0
99,4009,AZ  ,Graham County                                                                                       ,0,0
100,4011,AZ  ,Greenlee County                                                                                     ,0,0
101,4012,AZ  ,La Paz County                                                                                       ,0,0
102,4013,AZ  ,Maricopa County                                                                                     ,0,0
103,4015,AZ  ,Mohave County                                                                                       ,0,0
104,4017,AZ  ,Navajo County                                                                                       ,0,0
105,4019,AZ  ,Pima County                                                                                         ,0,0
106,4021,AZ  ,Pinal County                                                                                        ,0,0
107,4023,AZ  ,Santa Cruz County                                                                                   ,0,0
108,4025,AZ  ,Yavapai County                                                                                      ,0,0
109,4027,AZ  ,Yuma County                                                                                         ,0,0
110,5001,AR  ,Arkansas County                                                                                     ,0,0
111,5003,AR  ,Ashley County                                                                                       ,0,0
112,5005,AR  ,Baxter County                                                                                       ,0,0
113,5007,AR  ,Benton County                                                                                       ,0,0
114,5009,AR  ,Boone County                                                                                        ,0,0
115,5011,AR  ,Bradley County                                                                                      ,0,0
116,5013,AR  ,Calhoun County                                                                                      ,0,0
117,5015,AR  ,Carroll County                                                                                      ,0,0
118,5017,AR  ,Chicot County                                                                                       ,0,0
119,5019,AR  ,Clark County                                                                                        ,0,0
120,5021,AR  ,Clay County                                                                                         ,0,0
121,5023,AR  ,Cleburne County                                                                                     ,0,0
122,5025,AR  ,Cleveland County                                                                                    ,0,0
123,5027,AR  ,Columbia County                                                                                     ,0,0
124,5029,AR  ,Conway County                                                                                       ,0,0
125,5031,AR  ,Craighead County                                                                                    ,0,0
126,5033,AR  ,Crawford County                                                                                     ,0,0
127,5035,AR  ,Crittenden County                                                                                   ,0,0
128,5037,AR  ,Cross County                                                                                        ,0,0
129,5039,AR  ,Dallas County                                                                                       ,0,0
130,5041,AR  ,Desha County                                                                                        ,0,0
131,5043,AR  ,Drew County                                                                                         ,0,0
132,5045,AR  ,Faulkner County                                                                                     ,0,0
133,5047,AR  ,Franklin County                                                                                     ,0,0
134,5049,AR  ,Fulton County                                                                                       ,0,0
135,5051,AR  ,Garland County                                                                                      ,0,0
136,5053,AR  ,Grant County                                                                                        ,0,0
137,5055,AR  ,Greene County                                                                                       ,0,0
138,5057,AR  ,Hempstead County                                                                                    ,0,0
139,5059,AR  ,Hot Spring County                                                                                   ,0,0
140,5061,AR  ,Howard County                                                                                       ,0,0
141,5063,AR  ,Independence County                                                                                 ,0,0
142,5065,AR  ,Izard County                                                                                        ,0,0
143,5067,AR  ,Jackson County                                                                                      ,0,0
144,5069,AR  ,Jefferson County                                                                                    ,0,0
145,5071,AR  ,Johnson County                                                                                      ,0,0
146,5073,AR  ,Lafayette County                                                                                    ,0,0
147,5075,AR  ,Lawrence County                                                                                     ,0,0
148,5077,AR  ,Lee County                                                                                          ,0,0
149,5079,AR  ,Lincoln County                                                                                      ,0,0
150,5081,AR  ,Little River County                                                                                 ,0,0
151,5083,AR  ,Logan County                                                                                        ,0,0
152,5085,AR  ,Lonoke County                                                                                       ,0,0
153,5087,AR  ,Madison County                                                                                      ,0,0
154,5089,AR  ,Marion County                                                                                       ,0,0
155,5091,AR  ,Miller County                                                                                       ,0,0
156,5093,AR  ,Mississippi County                                                                                  ,0,0
157,5095,AR  ,Monroe County                                                                                       ,0,0
158,5097,AR  ,Montgomery County                                                                                   ,0,0
159,5099,AR  ,Nevada County                                                                                       ,0,0
160,5101,AR  ,Newton County                                                                                       ,0,0
161,5103,AR  ,Ouachita County                                                                                     ,0,0
162,5105,AR  ,Perry County                                                                                        ,0,0
163,5107,AR  ,Phillips County                                                                                     ,0,0
164,5109,AR  ,Pike County                                                                                         ,0,0
165,5111,AR  ,Poinsett County                                                                                     ,0,0
166,5113,AR  ,Polk County                                                                                         ,0,0
167,5115,AR  ,Pope County                                                                                         ,0,0
168,5117,AR  ,Prairie County                                                                                      ,0,0
169,5119,AR  ,Pulaski County                                                                                      ,0,0
170,5121,AR  ,Randolph County                                                                                     ,0,0
171,5123,AR  ,St. Francis County                                                                                  ,0,0
172,5125,AR  ,Saline County                                                                                       ,0,0
173,5127,AR  ,Scott County                                                                                        ,0,0
174,5129,AR  ,Searcy County                                                                                       ,0,0
175,5131,AR  ,Sebastian County                                                                                    ,0,0
176,5133,AR  ,Sevier County                                                                                       ,0,0
177,5135,AR  ,Sharp County                                                                                        ,0,0
178,5137,AR  ,Stone County                                                                                        ,0,0
179,5139,AR  ,Union County                                                                                        ,0,0
180,5141,AR  ,Van Buren County                                                                                    ,0,0
181,5143,AR  ,Washington County                                                                                   ,0,0
182,5145,AR  ,White County                                                                                        ,0,0
183,5147,AR  ,Woodruff County                                                                                     ,0,0
184,5149,AR  ,Yell County                                                                                         ,0,0
185,6001,CA,Alameda County,1,0
186,6003,CA  ,Alpine County                                                                                       ,0,0
187,6005,CA  ,Amador County                                                                                       ,0,0
188,6007,CA,Butte County,1,0
189,6009,CA,Calaveras County,1,0
190,6011,CA  ,Colusa County                                                                                       ,0,0
191,6013,CA,Contra Costa County,1,0
192,6015,CA  ,Del Norte County                                                                                    ,0,0
193,6017,CA,El Dorado County,1,0
194,6019,CA  ,Fresno County                                                                                       ,0,0
195,6021,CA  ,Glenn County                                                                                        ,0,0
196,6023,CA  ,Humboldt County                                                                                     ,0,0
197,6025,CA  ,Imperial County                                                                                     ,0,0
198,6027,CA  ,Inyo County                                                                                         ,0,0
199,6029,CA  ,Kern County                                                                                         ,0,0
200,6031,CA  ,Kings County                                                                                        ,0,0
201,6033,CA,Lake County,1,0
202,6035,CA  ,Lassen County                                                                                       ,0,0
203,6037,CA,Los Angeles County,1,0
204,6039,CA  ,Madera County                                                                                       ,0,0
205,6041,CA,Marin County,1,0
206,6043,CA,Mariposa County,1,0
207,6045,CA,Mendocino County,1,0
208,6047,CA  ,Merced County                                                                                       ,0,0
209,6049,CA  ,Modoc County                                                                                        ,0,0
210,6051,CA  ,Mono County                                                                                         ,0,0
211,6053,CA  ,Monterey County                                                                                     ,0,0
212,6055,CA  ,Napa County                                                                                         ,0,0
213,6057,CA,Nevada County,1,0
214,6059,CA  ,Orange County                                                                                       ,0,0
