,County,State,FIPS,Cases2019,Population,% < 18 Yrs Old,% 65 Yrs Old and over,Income ($),African American (Count),African American (%),American Indian/Alaskan Native (Count),American Indian/Alaskan Native(%),Asian (Count),Asian (%),Native Hawaiian/Other Pacific Islander (Count),Native Hawaiian/Other Pacific Islander (%),Hispanic (Count),Hispanic (%),Non-Hispanic White (Count),Non-Hispanic White (%),Female (%),Rural (Count),Rural (%),Life Expectancy,Deaths (Count)
0,Autauga,Alabama,1001,1,55504.0,23.937013549,15.119631018,58343.0,10687.0,19.254468146,264.0,0.4756413952,710.0,1.2791870856,58.0,0.1044969732,1586.0,2.8574517152,41336.0,74.47391179,51.342245604,22921.0,42.002162321,76.330589011,815.0
1,Baldwin,Alabama,1003,0,212628.0,21.848486559,19.947043663,56607.0,19037.0,8.9531952518,1650.0,0.7760031604,2459.0,1.1564798615,146.0,0.0686645221,9675.0,4.5502003499,176582.0,83.047387926,51.452771977,77060.0,42.279099114,78.599497656,2827.0
2,Barbour,Alabama,1005,1,25270.0,20.763751484,18.824693312,32490.0,12115.0,47.942223981,165.0,0.6529481599,117.0,0.4629996043,47.0,0.185991294,1063.0,4.2065690542,11613.0,45.95567867,47.229916898,18613.0,67.789634702,75.77945737,451.0
3,Bibb,Alabama,1007,0,22668.0,20.606140815,16.022586907,45795.0,4864.0,21.45756132,97.0,0.4279160049,50.0,0.2205752603,26.0,0.1146991353,598.0,2.6380801129,16842.0,74.298570672,46.453149815,15663.0,68.352607462,73.928271076,445.0
4,Blount,Alabama,1009,0,58013.0,23.349938807,17.842552531,48253.0,847.0,1.4600175823,367.0,0.6326168273,175.0,0.3016565253,68.0,0.117215107,5549.0,9.5650974782,50439.0,86.944305587,50.688638753,51562.0,89.951502041,74.597766875,1050.0
5,Bullock,Alabama,1011,0,10309.0,20.710059172,15.82112717,29113.0,7130.0,69.162867397,87.0,0.8439227859,20.0,0.1940052381,80.0,0.7760209526,850.0,8.245222621,2196.0,21.301775148,45.533029392,5607.0,51.374381528,73.117530117,205.0
6,Butler,Alabama,1013,0,19825.0,22.733921816,19.556116015,36842.0,8845.0,44.615384615,75.0,0.3783102144,204.0,1.0290037831,10.0,0.0504413619,285.0,1.4375788146,10229.0,51.596469105,53.432534678,14921.0,71.23215735,73.505385022,393.0
7,Calhoun,Alabama,1015,3,114728.0,21.78979848,17.312251586,45937.0,23852.0,20.790042535,607.0,0.5290774702,1137.0,0.9910396765,129.0,0.1124398578,4302.0,3.749738512,82961.0,72.311031309,51.930653371,39955.0,33.696825557,73.102947697,2333.0
8,Chambers,Alabama,1017,2,33713.0,21.137246759,19.078693679,36883.0,13313.0,39.489217809,100.0,0.2966214813,421.0,1.2487764364,15.0,0.0444932222,822.0,2.4382285765,18710.0,55.497879156,52.125292914,16816.0,49.148034488,74.122277638,691.0
9,Cherokee,Alabama,1019,0,25857.0,19.712263604,22.61669954,44842.0,1090.0,4.2154929033,163.0,0.6303902232,77.0,0.2977917005,8.0,0.0309393975,425.0,1.6436554898,23707.0,91.685036934,50.319062536,22282.0,85.736273039,74.346572288,575.0
10,Chilton,Alabama,1021,1,44067.0,23.87500851,16.359180339,46405.0,4442.0,10.080105294,241.0,0.5468945016,220.0,0.499239794,76.0,0.1724646561,3431.0,7.7858715138,35335.0,80.184718724,50.827149568,37858.0,86.74472424,74.192630442,850.0
11,Choctaw,Alabama,1023,0,12945.0,20.092699884,22.742371572,36711.0,5389.0,41.629972963,23.0,0.1776747779,19.0,0.1467748165,0.0,0.0,126.0,0.9733487833,7309.0,56.461954423,52.715334106,13859.0,100.0,74.284126121,273.0
12,Clarke,Alabama,1025,0,24083.0,21.878503509,19.279159573,36719.0,10634.0,44.155628452,119.0,0.4941244862,121.0,0.5024290994,4.0,0.0166092264,319.0,1.3245858074,12703.0,52.74675082,52.78412158,19628.0,75.98033523,75.893743647,412.0
13,Clay,Alabama,1027,0,13367.0,20.573053041,20.243884192,39642.0,1849.0,13.832572754,77.0,0.5760454851,33.0,0.2468766365,0.0,0.0,417.0,3.119622952,10761.0,80.504226827,51.051095983,13932.0,100.0,75.393032012,271.0
14,Cleburne,Alabama,1029,1,14900.0,22.946308725,19.10738255,45480.0,459.0,3.0805369128,69.0,0.4630872483,30.0,0.2013422819,11.0,0.0738255034,361.0,2.4228187919,13818.0,92.738255034,50.416107383,14972.0,100.0,73.629785061,334.0
15,Coffee,Alabama,1031,0,51874.0,23.724794695,16.565138605,51998.0,8995.0,17.340093303,733.0,1.4130392875,822.0,1.5846088599,216.0,0.416393569,3684.0,7.1018236496,36440.0,70.247137294,50.707483518,23573.0,47.195082886,77.20313581,743.0
16,Colbert,Alabama,1033,2,54500.0,21.011009174,19.6,46100.0,8763.0,16.078899083,352.0,0.6458715596,317.0,0.5816513761,31.0,0.0568807339,1390.0,2.5504587156,42769.0,78.475229358,52.020183486,23891.0,43.894686558,74.851027031,1016.0
17,Conecuh,Alabama,1035,0,12469.0,21.028149812,21.918357527,30796.0,5758.0,46.178522736,59.0,0.4731734702,26.0,0.2085171225,4.0,0.0320795573,249.0,1.9969524421,6223.0,49.907771273,51.968882829,10708.0,80.949501058,75.033811563,272.0
18,Coosa,Alabama,1037,1,10754.0,16.40319881,22.763622838,42442.0,3245.0,30.174818672,63.0,0.5858285289,16.0,0.1487818486,18.0,0.1673795797,261.0,2.4270039055,7073.0,65.770875953,49.804723824,11539.0,100.0,73.416100716,228.0
19,Covington,Alabama,1039,0,37092.0,21.832201014,20.664833387,39093.0,4606.0,12.417772026,247.0,0.6659117869,181.0,0.4879758438,4.0,0.0107839965,613.0,1.6526474712,30936.0,83.403429311,51.773967432,26304.0,69.651793989,74.215783517,754.0
20,Crenshaw,Alabama,1041,0,13871.0,23.084132362,18.722514599,38419.0,3235.0,23.322038786,81.0,0.5839521303,151.0,1.0886021195,4.0,0.0288371422,298.0,2.1483670968,9872.0,71.170067046,51.575228895,13906.0,100.0,74.831088149,271.0
