County,State,FIPS,LymeDiseaseIncidenceReported,Population,%<18YrsOld,%65YrsOldandOver,Income,AfricanAmerican(Count),AfricanAmerican(%),AmericaNIndian/AlaskanNative(Count),AmericanIndian/AlaskanNative(%),Asian(Count),Asian(%),NativeHawaiian/OtherPacificIslander(Count),NativeHawaiian/OtherPacificIslander(%),Hispanic(Count),Hispanic(%),Non-HispanicWhite(Count),Non-HispanicWhite(%),Female(%),Rural(Count),Rural(%),LifeExpectancy,Deaths(Count)
Autauga,Alabama,1001,1,55504,23.94,15.12,58343,10687,19.25,264,0.48,710,1.28,58,0.1,1586,2.86,41336,74.47,51.34,22921,42,76.33,815
Baldwin,Alabama,1003,0,212628,21.85,19.95,56607,19037,8.95,1650,0.78,2459,1.16,146,0.07,9675,4.55,176582,83.05,51.45,77060,42.28,78.6,2827
Barbour,Alabama,1005,1,25270,20.76,18.82,32490,12115,47.94,165,0.65,117,0.46,47,0.19,1063,4.21,11613,45.96,47.23,18613,67.79,75.78,451
Bibb,Alabama,1007,0,22668,20.61,16.02,45795,4864,21.46,97,0.43,50,0.22,26,0.11,598,2.64,16842,74.3,46.45,15663,68.35,73.93,445
Blount,Alabama,1009,0,58013,23.35,17.84,48253,847,1.46,367,0.63,175,0.3,68,0.12,5549,9.57,50439,86.94,50.69,51562,89.95,74.6,1050
Bullock,Alabama,1011,0,10309,20.71,15.82,29113,7130,69.16,87,0.84,20,0.19,80,0.78,850,8.25,2196,21.3,45.53,5607,51.37,73.12,205
Butler,Alabama,1013,0,19825,22.73,19.56,36842,8845,44.62,75,0.38,204,1.03,10,0.05,285,1.44,10229,51.6,53.43,14921,71.23,73.51,393
Calhoun,Alabama,1015,3,114728,21.79,17.31,45937,23852,20.79,607,0.53,1137,0.99,129,0.11,4302,3.75,82961,72.31,51.93,39955,33.7,73.1,2333
Chambers,Alabama,1017,2,33713,21.14,19.08,36883,13313,39.49,100,0.3,421,1.25,15,0.04,822,2.44,18710,55.5,52.13,16816,49.15,74.12,691
Cherokee,Alabama,1019,0,25857,19.71,22.62,44842,1090,4.22,163,0.63,77,0.3,8,0.03,425,1.64,23707,91.69,50.32,22282,85.74,74.35,575
Chilton,Alabama,1021,1,44067,23.88,16.36,46405,4442,10.08,241,0.55,220,0.5,76,0.17,3431,7.79,35335,80.18,50.83,37858,86.74,74.19,850
Choctaw,Alabama,1023,0,12945,20.09,22.74,36711,5389,41.63,23,0.18,19,0.15,0,0,126,0.97,7309,56.46,52.72,13859,100,74.28,273
Clarke,Alabama,1025,0,24083,21.88,19.28,36719,10634,44.16,119,0.49,121,0.5,4,0.02,319,1.32,12703,52.75,52.78,19628,75.98,75.89,412
Clay,Alabama,1027,0,13367,20.57,20.24,39642,1849,13.83,77,0.58,33,0.25,0,0,417,3.12,10761,80.5,51.05,13932,100,75.39,271
Cleburne,Alabama,1029,1,14900,22.95,19.11,45480,459,3.08,69,0.46,30,0.2,11,0.07,361,2.42,13818,92.74,50.42,14972,100,73.63,334
Coffee,Alabama,1031,0,51874,23.72,16.57,51998,8995,17.34,733,1.41,822,1.58,216,0.42,3684,7.1,36440,70.25,50.71,23573,47.2,77.2,743
