,FIPS,State,County,Lifespan_Rank,Life_Quality_Rank,Health_Behaviors_Rank,Clinical_Care_Rank,Social_Economic_Factors_Rank,Physical_Environment_Rank
1,01001,Alabama,Autauga,8,5,15,14,5,50
2,01003,Alabama,Baldwin,3,4,3,4,3,62
3,01005,Alabama,Barbour,14,48,53,30,61,32
4,01007,Alabama,Bibb,47,24,38,16,38,31
5,01009,Alabama,Blount,36,14,10,41,15,53
6,01011,Alabama,Bullock,53,58,65,62,64,24
7,01013,Alabama,Butler,63,56,56,52,55,8
8,01015,Alabama,Calhoun,55,10,28,34,27,41
9,01017,Alabama,Chambers,42,53,57,25,37,46
10,01019,Alabama,Cherokee,43,8,12,54,19,43
11,01021,Alabama,Chilton,32,22,18,46,29,27
12,01023,Alabama,Choctaw,52,45,35,19,52,3
13,01025,Alabama,Clarke,19,55,47,39,57,4
14,01027,Alabama,Clay,17,21,16,51,34,63
15,01029,Alabama,Cleburne,51,11,17,58,14,14
16,01031,Alabama,Coffee,5,12,9,15,8,15
17,01033,Alabama,Colbert,26,20,7,11,18,29
18,01035,Alabama,Conecuh,30,65,59,66,59,42
19,01037,Alabama,Coosa,59,51,41,43,49,25
20,01039,Alabama,Covington,44,38,37,48,20,13
21,01041,Alabama,Crenshaw,11,31,42,49,45,2
22,01043,Alabama,Cullman,23,15,26,29,11,51
23,01045,Alabama,Dale,15,17,19,24,22,21
24,01047,Alabama,Dallas,62,61,61,20,63,55
25,01049,Alabama,DeKalb,38,18,32,65,35,30
26,01051,Alabama,Elmore,7,9,14,13,12,47
27,01053,Alabama,Escambia,50,41,44,63,53,18
28,01055,Alabama,Etowah,46,39,50,47,30,22
29,01057,Alabama,Fayette,16,28,36,9,32,11
30,01059,Alabama,Franklin,34,34,23,64,39,9
31,01061,Alabama,Geneva,31,32,55,55,46,7
32,01063,Alabama,Greene,60,66,63,56,66,12
33,01065,Alabama,Hale,49,59,58,59,54,59
34,01067,Alabama,Henry,20,27,21,18,9,16
35,01069,Alabama,Houston,13,36,39,6,21,23
36,01071,Alabama,Jackson,39,26,43,45,42,19
37,01073,Alabama,Jefferson,37,16,8,2,23,66
38,01075,Alabama,Lamar,58,47,30,33,17,5
39,01077,Alabama,Lauderdale,10,19,6,7,6,28
40,01079,Alabama,Lawrence,41,23,33,60,31,36
41,01081,Alabama,Lee,2,7,5,10,7,61
42,01083,Alabama,Limestone,4,6,4,23,4,49
43,01085,Alabama,Lowndes,67,63,64,40,65,57
44,01087,Alabama,Macon,48,60,60,26,60,65
45,01089,Alabama,Madison,6,2,2,3,2,67
46,01091,Alabama,Marengo,40,54,48,42,50,39
47,01093,Alabama,Marion,33,25,22,57,28,6
48,01095,Alabama,Marshall,29,29,31,38,24,37
49,01097,Alabama,Mobile,27,35,24,28,48,33
50,01099,Alabama,Monroe,56,52,52,35,56,26
51,01101,Alabama,Montgomery,22,33,34,8,44,52
52,01103,Alabama,Morgan,12,13,11,17,13,54
53,01105,Alabama,Perry,64,67,66,53,58,45
54,01107,Alabama,Pickens,21,50,40,32,33,17
55,01109,Alabama,Pike,24,43,54,37,51,20
56,01111,Alabama,Randolph,35,30,25,50,26,40
57,01113,Alabama,Russell,45,40,51,22,41,60
58,01115,Alabama,St. Clair,18,3,13,31,16,56
59,01117,Alabama,Shelby,1,1,1,1,1,48
60,01119,Alabama,Sumter,65,62,62,36,62,58
61,01121,Alabama,Talladega,57,49,46,27,43,34
62,01123,Alabama,Tallapoosa,25,57,29,21,36,44
63,01125,Alabama,Tuscaloosa,9,37,20,5,10,38
64,01127,Alabama,Walker,66,42,27,12,40,35
65,01129,Alabama,Washington,61,46,45,61,47,1
66,01131,Alabama,Wilcox,54,64,67,44,67,64
67,01133,Alabama,Winston,28,44,49,67,25,10
68,02013,Alaska,Aleutians East,NR,NR,NR,NR,NR,NR
69,02016,Alaska,Aleutians West,11,18,15,19,3,3
70,02020,Alaska,Anchorage,9,13,1,1,6,23
71,02050,Alaska,Bethel,22,22,21,14,23,21
72,02060,Alaska,Bristol Bay,11,10,17,13,14,4
73,02068,Alaska,Denali,NR,NR,NR,NR,NR,NR
74,02070,Alaska,Dillingham,21,24,22,18,19,7
75,02090,Alaska,Fairbanks North Star,5,9,7,2,5,24
76,02100,Alaska,Haines,11,8,2,4,10,6
77,02105,Alaska,Hoonah-Angoon,11,16,14,23,21,2
78,02110,Alaska,Juneau,10,4,3,3,2,8
79,02122,Alaska,Kenai Peninsula,8,6,5,12,11,22
80,02130,Alaska,Ketchikan Gateway,6,15,12,6,8,16
81,02150,Alaska,Kodiak Island,1,2,9,17,4,17
82,02158,Alaska,Kusilvak,25,25,23,15,25,19
83,02164,Alaska,Lake and Peninsula,11,20,19,24,18,10
84,02170,Alaska,Matanuska-Susitna,7,12,11,5,13,25
85,02180,Alaska,Nome,20,21,25,25,20,15
86,02185,Alaska,North Slope,18,17,20,16,15,11
87,02188,Alaska,Northwest Arctic,23,23,24,21,22,14
88,02195,Alaska,Petersburg,11,7,6,7,7,1
89,02198,Alaska,Prince of Wales-Hyder,19,5,16,22,17,5
90,02220,Alaska,Sitka,2,14,4,8,1,13
91,02230,Alaska,Skagway,NR,NR,NR,NR,NR,NR
92,02240,Alaska,Southeast Fairbanks,3,1,8,11,16,9
