,FIPS,State,County,Mean_Rank
1,1001.0,Alabama,Autauga,14.375
2,1003.0,Alabama,Baldwin,10.5
3,1005.0,Alabama,Barbour,41.125
4,1007.0,Alabama,Bibb,32.875
5,1009.0,Alabama,Blount,25.875
6,1011.0,Alabama,Bullock,56.25
7,1013.0,Alabama,Butler,51.0
8,1015.0,Alabama,Calhoun,33.0
9,1017.0,Alabama,Chambers,44.5
10,1019.0,Alabama,Cherokee,28.125
11,1021.0,Alabama,Chilton,28.25
12,1023.0,Alabama,Choctaw,36.625
13,1025.0,Alabama,Clarke,39.75
14,1027.0,Alabama,Clay,31.625
15,1029.0,Alabama,Cleburne,27.75
16,1031.0,Alabama,Coffee,9.625
17,1033.0,Alabama,Colbert,17.625
18,1035.0,Alabama,Conecuh,54.75
19,1037.0,Alabama,Coosa,46.125
20,1039.0,Alabama,Covington,33.5
21,1041.0,Alabama,Crenshaw,29.125
22,1043.0,Alabama,Cullman,23.875
23,1045.0,Alabama,Dale,18.5
24,1047.0,Alabama,Dallas,55.625
25,1049.0,Alabama,DeKalb,36.125
26,1051.0,Alabama,Elmore,15.25
27,1053.0,Alabama,Escambia,46.0
28,1055.0,Alabama,Etowah,40.125
29,1057.0,Alabama,Fayette,21.375
30,1059.0,Alabama,Franklin,34.625
31,1061.0,Alabama,Geneva,38.375
32,1063.0,Alabama,Greene,56.5
33,1065.0,Alabama,Hale,56.75
34,1067.0,Alabama,Henry,17.75
35,1069.0,Alabama,Houston,21.75
36,1071.0,Alabama,Jackson,35.625
37,1073.0,Alabama,Jefferson,23.0
38,1075.0,Alabama,Lamar,32.5
39,1077.0,Alabama,Lauderdale,11.25
40,1079.0,Alabama,Lawrence,37.625
41,1081.0,Alabama,Lee,12.625
42,1083.0,Alabama,Limestone,12.5
43,1085.0,Alabama,Lowndes,60.875
44,1087.0,Alabama,Macon,54.375
45,1089.0,Alabama,Madison,11.0
46,1091.0,Alabama,Marengo,46.75
47,1093.0,Alabama,Marion,28.375
48,1095.0,Alabama,Marshall,30.375
49,1097.0,Alabama,Mobile,32.375
50,1099.0,Alabama,Monroe,48.25
51,1101.0,Alabama,Montgomery,30.0
52,1103.0,Alabama,Morgan,18.125
53,1105.0,Alabama,Perry,60.25
54,1107.0,Alabama,Pickens,33.625
55,1109.0,Alabama,Pike,39.5
56,1111.0,Alabama,Randolph,33.875
57,1113.0,Alabama,Russell,43.375
58,1115.0,Alabama,St. Clair,20.125
59,1117.0,Alabama,Shelby,6.875
60,1119.0,Alabama,Sumter,59.0
61,1121.0,Alabama,Talladega,43.25
62,1123.0,Alabama,Tallapoosa,36.5
63,1125.0,Alabama,Tuscaloosa,17.625
64,1127.0,Alabama,Walker,38.25
65,1129.0,Alabama,Washington,45.25
66,1131.0,Alabama,Wilcox,61.0
67,1133.0,Alabama,Winston,38.875
68,2013.0,Alaska,Aleutians East,
69,2016.0,Alaska,Aleutians West,11.625
70,2020.0,Alaska,Anchorage,8.125
71,2050.0,Alaska,Bethel,20.75
72,2060.0,Alaska,Bristol Bay,12.125
73,2068.0,Alaska,Denali,
74,2070.0,Alaska,Dillingham,19.125
75,2090.0,Alaska,Fairbanks North Star,7.875
76,2100.0,Alaska,Haines,7.25
77,2105.0,Alaska,Hoonah-Angoon,15.125
78,2110.0,Alaska,Juneau,4.375
79,2122.0,Alaska,Kenai Peninsula,10.0
80,2130.0,Alaska,Ketchikan Gateway,10.25
81,2150.0,Alaska,Kodiak Island,7.5
82,2158.0,Alaska,Kusilvak,22.75
83,2164.0,Alaska,Lake and Peninsula,17.5
84,2170.0,Alaska,Matanuska-Susitna,11.75
85,2180.0,Alaska,Nome,21.125
86,2185.0,Alaska,North Slope,16.5
87,2188.0,Alaska,Northwest Arctic,21.875
88,2195.0,Alaska,Petersburg,7.0
89,2198.0,Alaska,Prince of Wales-Hyder,14.0
90,2220.0,Alaska,Sitka,6.25
91,2230.0,Alaska,Skagway,
92,2240.0,Alaska,Southeast Fairbanks,8.0
93,2261.0,Alaska,Valdez-Cordova,8.625
94,2275.0,Alaska,Wrangell,12.0
95,2282.0,Alaska,Yakutat,
96,2290.0,Alaska,Yukon-Koyukuk,20.875
97,4001.0,Arizona,Apache,14.625
98,4003.0,Arizona,Cochise,7.125
99,4005.0,Arizona,Coconino,6.625
100,4007.0,Arizona,Gila,11.75
101,4009.0,Arizona,Graham,8.25
102,4011.0,Arizona,Greenlee,3.625
103,4012.0,Arizona,La Paz,9.625
104,4013.0,Arizona,Maricopa,4.125
105,4015.0,Arizona,Mohave,10.375
106,4017.0,Arizona,Navajo,11.625
107,4019.0,Arizona,Pima,4.5
108,4021.0,Arizona,Pinal,8.125
109,4023.0,Arizona,Santa Cruz,7.125
110,4025.0,Arizona,Yavapai,3.625
111,4027.0,Arizona,Yuma,8.875
112,5001.0,Arkansas,Arkansas,37.75
113,5003.0,Arkansas,Ashley,48.0
114,5005.0,Arkansas,Baxter,9.875
115,5007.0,Arkansas,Benton,8.875
116,5009.0,Arkansas,Boone,9.5
